"sci_name"	"genus"	"subfamily"	"family"	"superfamily"	"ITIS_id"
"Paratrea plebeja"	"Paratrea"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936109
"Sphinx chersis"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936125
"Sphinx drupiferarum"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	188624
"Sphinx franckii"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936128
"Sphinx gordius"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	188623
"Sphinx kalmiae"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	188622
"Prionoxystus macmurtrei"	"Prionoxystus"	"Cossinae"	"Cossidae"	"Cossoidea"	117910
"Prionoxystus robiniae"	"Prionoxystus"	"Cossinae"	"Cossidae"	"Cossoidea"	117911
"Cossula magnifica"	"Cossula"	"Cossulinae"	"Cossidae"	"Cossoidea"	117908
"Drepana arcuata"	"Drepana"	"Drepaninae"	"Drepanidae"	"Drepanoidea"	189065
"Eudeilinia herminiata"	"Eudeilinia"	"Drepaninae"	"Drepanidae"	"Drepanoidea"	189059
"Oreta rosea"	"Oreta"	"Drepaninae"	"Drepanidae"	"Drepanoidea"	189061
"Homaledra sabalella"	"Homaledra"	"Batrachedrinae"	"Batrachedridae"	"Gelechioidea"	118734
"Coleophora laticornella"	"Coleophora"	"Coleophorinae"	"Coleophoridae"	"Gelechioidea"	118728
"Cosmopterix clandestinella"	"Cosmopterix"	"Cosmopteriginae"	"Cosmopterigidae"	"Gelechioidea"	117925
"Cosmopterix clemensella"	"Cosmopterix"	"Cosmopteriginae"	"Cosmopterigidae"	"Gelechioidea"	117941
"Pyroderces rileyi"	"Pyroderces"	"Cosmopteriginae"	"Cosmopterigidae"	"Gelechioidea"	117953
"Aethalura intertexta"	"Aethalura"	"Ennominae"	"Geometridae"	"Geometroidea"	941658
"Alsophila pometaria"	"Alsophila"	"Ennominae"	"Geometridae"	"Geometroidea"	117558
"Anavitrinella pampinaria"	"Anavitrinella"	"Ennominae"	"Geometridae"	"Geometroidea"	189275
"Antepione thisoaria"	"Antepione"	"Ennominae"	"Geometridae"	"Geometroidea"	941678
"Besma endropiaria"	"Besma"	"Ennominae"	"Geometridae"	"Geometroidea"	941704
"Besma quercivoraria"	"Besma"	"Ennominae"	"Geometridae"	"Geometroidea"	189321
"Biston betularia"	"Biston"	"Ennominae"	"Geometridae"	"Geometroidea"	117560
"Cabera erythemaria"	"Cabera"	"Ennominae"	"Geometridae"	"Geometroidea"	189254
"Cabera quadrifasciaria"	"Cabera"	"Ennominae"	"Geometridae"	"Geometroidea"	941710
"Cabera variolaria"	"Cabera"	"Ennominae"	"Geometridae"	"Geometroidea"	189253
"Campaea perlata"	"Campaea"	"Ennominae"	"Geometridae"	"Geometroidea"	189289
"Caripeta angustiorata"	"Caripeta"	"Ennominae"	"Geometridae"	"Geometroidea"	189319
"Caripeta aretaria"	"Caripeta"	"Ennominae"	"Geometridae"	"Geometroidea"	941715
"Caripeta divisata"	"Caripeta"	"Ennominae"	"Geometridae"	"Geometroidea"	189315
"Caripeta piniata"	"Caripeta"	"Ennominae"	"Geometridae"	"Geometroidea"	189318
"Cepphis armataria"	"Cepphis"	"Ennominae"	"Geometridae"	"Geometroidea"	941727
"Cepphis decoloraria"	"Cepphis"	"Ennominae"	"Geometridae"	"Geometroidea"	941728
"Ceratonyx satanaria"	"Ceratonyx"	"Ennominae"	"Geometridae"	"Geometroidea"	941731
"Cleora projecta"	"Cleora"	"Ennominae"	"Geometridae"	"Geometroidea"	941755
"Cleora sublunaria"	"Cleora"	"Ennominae"	"Geometridae"	"Geometroidea"	941756
"Cymatophora approximaria"	"Cymatophora"	"Ennominae"	"Geometridae"	"Geometroidea"	941777
"Digrammia atrofasciata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941790
"Digrammia continuata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941795
"Digrammia eremiata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941801
"Digrammia gnophosaria"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941806
"Digrammia ocellinata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941818
"Digrammia ordinata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941819
"Ectropis crepuscularia"	"Ectropis"	"Ennominae"	"Geometridae"	"Geometroidea"	189283
"Ennomos magnaria"	"Ennomos"	"Ennominae"	"Geometridae"	"Geometroidea"	941868
"Ennomos subsignaria"	"Ennomos"	"Ennominae"	"Geometridae"	"Geometroidea"	117566
"Epimecis hortaria"	"Epimecis"	"Ennominae"	"Geometridae"	"Geometroidea"	941888
"Episemasia solitaria"	"Episemasia"	"Ennominae"	"Geometridae"	"Geometroidea"	941898
"Erannis tiliaria"	"Erannis"	"Ennominae"	"Geometridae"	"Geometroidea"	117568
"Erastria coloraria"	"Erastria"	"Ennominae"	"Geometridae"	"Geometroidea"	941899
"Erastria cruentaria"	"Erastria"	"Ennominae"	"Geometridae"	"Geometroidea"	941900
"Euchlaena amoenaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941923
"Euchlaena effecta"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941925
"Euchlaena irraria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941926
"Euchlaena johnsonaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941927
"Euchlaena madusaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941928
"Euchlaena marginaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941930
"Euchlaena milnei"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941931
"Euchlaena muzaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941933
"Euchlaena obtusaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941934
"Euchlaena serrata"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941936
"Euchlaena tigrinaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941938
"Eufidonia convergaria"	"Eufidonia"	"Ennominae"	"Geometridae"	"Geometroidea"	189268
"Eufidonia notataria"	"Eufidonia"	"Ennominae"	"Geometridae"	"Geometroidea"	941941
"Eugonobapta nivosaria"	"Eugonobapta"	"Ennominae"	"Geometridae"	"Geometroidea"	941942
"Eumacaria madopata"	"Eumacaria"	"Ennominae"	"Geometridae"	"Geometroidea"	941950
"Eusarca confusaria"	"Eusarca"	"Ennominae"	"Geometridae"	"Geometroidea"	942089
"Eusarca fundaria"	"Eusarca"	"Ennominae"	"Geometridae"	"Geometroidea"	942093
"Eutrapela clemataria"	"Eutrapela"	"Ennominae"	"Geometridae"	"Geometroidea"	942106
"Exelis pyrolaria"	"Exelis"	"Ennominae"	"Geometridae"	"Geometroidea"	942111
"Glena cognataria"	"Glena"	"Ennominae"	"Geometridae"	"Geometroidea"	942160
"Glena cribrataria"	"Glena"	"Ennominae"	"Geometridae"	"Geometroidea"	942161
"Glena plumosaria"	"Glena"	"Ennominae"	"Geometridae"	"Geometroidea"	942167
"Glenoides texanaria"	"Glenoides"	"Ennominae"	"Geometridae"	"Geometroidea"	942170
"Gueneria similaria"	"Gueneria"	"Ennominae"	"Geometridae"	"Geometroidea"	942173
"Heliomata cycladata"	"Heliomata"	"Ennominae"	"Geometridae"	"Geometroidea"	942176
"Heliomata infulata"	"Heliomata"	"Ennominae"	"Geometridae"	"Geometroidea"	942177
"Hesperumia sulphuraria"	"Hesperumia"	"Ennominae"	"Geometridae"	"Geometroidea"	942186
"Homochlodes disconventa"	"Homochlodes"	"Ennominae"	"Geometridae"	"Geometroidea"	942193
"Homochlodes fritillaria"	"Homochlodes"	"Ennominae"	"Geometridae"	"Geometroidea"	189291
"Homochlodes lactispargaria"	"Homochlodes"	"Ennominae"	"Geometridae"	"Geometroidea"	942194
"Hypagyrtis brendae"	"Hypagyrtis"	"Ennominae"	"Geometridae"	"Geometroidea"	942262
"Hypagyrtis esther"	"Hypagyrtis"	"Ennominae"	"Geometridae"	"Geometroidea"	942263
"Hypagyrtis unipunctata"	"Hypagyrtis"	"Ennominae"	"Geometridae"	"Geometroidea"	942264
"Hypomecis buchholzaria"	"Hypomecis"	"Ennominae"	"Geometridae"	"Geometroidea"	942265
"Hypomecis gnopharia"	"Hypomecis"	"Ennominae"	"Geometridae"	"Geometroidea"	942266
"Hypomecis longipectinaria"	"Hypomecis"	"Ennominae"	"Geometridae"	"Geometroidea"	942267
"Hypomecis umbrosaria"	"Hypomecis"	"Ennominae"	"Geometridae"	"Geometroidea"	942269
"Ilexia intractata"	"Ilexia"	"Ennominae"	"Geometridae"	"Geometroidea"	943007
"Iridopsis cypressaria"	"Iridopsis"	"Ennominae"	"Geometridae"	"Geometroidea"	942298
"Iridopsis defectaria"	"Iridopsis"	"Ennominae"	"Geometridae"	"Geometroidea"	942300
"Iridopsis ephyraria"	"Iridopsis"	"Ennominae"	"Geometridae"	"Geometroidea"	942302
"Iridopsis humaria"	"Iridopsis"	"Ennominae"	"Geometridae"	"Geometroidea"	942305
"Iridopsis larvaria"	"Iridopsis"	"Ennominae"	"Geometridae"	"Geometroidea"	189279
"Iridopsis pergracilis"	"Iridopsis"	"Ennominae"	"Geometridae"	"Geometroidea"	942309
"Iridopsis vellivolata"	"Iridopsis"	"Ennominae"	"Geometridae"	"Geometroidea"	942313
"Lambdina canitiaria"	"Lambdina"	"Ennominae"	"Geometridae"	"Geometroidea"	942319
"Lambdina fervidaria"	"Lambdina"	"Ennominae"	"Geometridae"	"Geometroidea"	942320
"Lambdina fiscellaria"	"Lambdina"	"Ennominae"	"Geometridae"	"Geometroidea"	117576
"Lambdina pellucidaria"	"Lambdina"	"Ennominae"	"Geometridae"	"Geometroidea"	117580
"Lomographa glomeraria"	"Lomographa"	"Ennominae"	"Geometridae"	"Geometroidea"	189250
"Lomographa semiclarata"	"Lomographa"	"Ennominae"	"Geometridae"	"Geometroidea"	189248
"Lomographa vestaliata"	"Lomographa"	"Ennominae"	"Geometridae"	"Geometroidea"	189249
"Lycia ypsilon"	"Lycia"	"Ennominae"	"Geometridae"	"Geometroidea"	942362
"Lytrosis heitzmanorum"	"Lytrosis"	"Ennominae"	"Geometridae"	"Geometroidea"	942363
"Lytrosis permagnaria"	"Lytrosis"	"Ennominae"	"Geometridae"	"Geometroidea"	942364
"Lytrosis sinuosa"	"Lytrosis"	"Ennominae"	"Geometridae"	"Geometroidea"	942365
"Lytrosis unitaria"	"Lytrosis"	"Ennominae"	"Geometridae"	"Geometroidea"	942366
"Macaria aemulataria"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942368
"Macaria aequiferaria"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942369
"Macaria bicolorata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942370
"Macaria bisignata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942371
"Macaria carpo"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942372
"Macaria distribuaria"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942374
"Macaria fissinotata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942375
"Macaria granitata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942376
"Macaria marmorata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942378
"Macaria minorata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942380
"Macaria multilineata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942381
"Macaria notata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942382
"Macaria oweni"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942384
"Macaria pinistrobata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942386
"Macaria promiscuata"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942388
"Macaria signaria"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942391
"Macaria transitaria"	"Macaria"	"Ennominae"	"Geometridae"	"Geometroidea"	942394
"Melanolophia canadaria"	"Melanolophia"	"Ennominae"	"Geometridae"	"Geometroidea"	942398
"Melanolophia signataria"	"Melanolophia"	"Ennominae"	"Geometridae"	"Geometroidea"	942402
"Mellilla xanthometata"	"Mellilla"	"Ennominae"	"Geometridae"	"Geometroidea"	942405
"Metanema determinata"	"Metanema"	"Ennominae"	"Geometridae"	"Geometroidea"	189307
"Metarranthis amyrisaria"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942415
"Metarranthis angularia"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942416
"Metarranthis duaria"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	189304
"Metarranthis homuraria"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942418
"Metarranthis hypochraria"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942419
"Metarranthis indeclinata"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942420
"Metarranthis lateritiaria"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942421
"Metarranthis mollicularia"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942422
"Metarranthis obfirmaria"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942423
"Metarranthis pilosaria"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942424
"Metarranthis refractaria"	"Metarranthis"	"Ennominae"	"Geometridae"	"Geometroidea"	942425
"Nematocampa baggettaria"	"Nematocampa"	"Ennominae"	"Geometridae"	"Geometroidea"	942433
"Nematocampa resistaria"	"Nematocampa"	"Ennominae"	"Geometridae"	"Geometroidea"	942435
"Nepytia canosaria"	"Nepytia"	"Ennominae"	"Geometridae"	"Geometroidea"	117584
"Nepytia semiclusaria"	"Nepytia"	"Ennominae"	"Geometridae"	"Geometroidea"	117586
"Orthofidonia exornata"	"Orthofidonia"	"Ennominae"	"Geometridae"	"Geometroidea"	942502
"Orthofidonia flavivenata"	"Orthofidonia"	"Ennominae"	"Geometridae"	"Geometroidea"	942503
"Orthofidonia tinctaria"	"Orthofidonia"	"Ennominae"	"Geometridae"	"Geometroidea"	942504
"Paleacrita merriccata"	"Paleacrita"	"Ennominae"	"Geometridae"	"Geometroidea"	942512
"Paleacrita vernata"	"Paleacrita"	"Ennominae"	"Geometridae"	"Geometroidea"	117591
"Patalene olyzonaria"	"Patalene"	"Ennominae"	"Geometridae"	"Geometroidea"	942525
"Pero ancetaria"	"Pero"	"Ennominae"	"Geometridae"	"Geometroidea"	942537
"Pero honestaria"	"Pero"	"Ennominae"	"Geometridae"	"Geometroidea"	189312
"Pero morrisonaria"	"Pero"	"Ennominae"	"Geometridae"	"Geometroidea"	189313
"Pero zalissaria"	"Pero"	"Ennominae"	"Geometridae"	"Geometroidea"	942553
"Petrophora divisata"	"Petrophora"	"Ennominae"	"Geometridae"	"Geometroidea"	942554
"Petrophora subaequaria"	"Petrophora"	"Ennominae"	"Geometridae"	"Geometroidea"	942555
"Phaeoura quernaria"	"Phaeoura"	"Ennominae"	"Geometridae"	"Geometroidea"	942563
"Phigalia denticulata"	"Phigalia"	"Ennominae"	"Geometridae"	"Geometroidea"	942569
"Phigalia strigataria"	"Phigalia"	"Ennominae"	"Geometridae"	"Geometroidea"	942571
"Phigalia titea"	"Phigalia"	"Ennominae"	"Geometridae"	"Geometroidea"	942572
"Pimaphera percata"	"Pimaphera"	"Ennominae"	"Geometridae"	"Geometroidea"	942588
"Plagodis alcoolaria"	"Plagodis"	"Ennominae"	"Geometridae"	"Geometroidea"	942591
"Plagodis fervidaria"	"Plagodis"	"Ennominae"	"Geometridae"	"Geometroidea"	942592
"Plagodis kuetzingi"	"Plagodis"	"Ennominae"	"Geometridae"	"Geometroidea"	942593
"Plagodis phlogosaria"	"Plagodis"	"Ennominae"	"Geometridae"	"Geometroidea"	189293
"Plagodis pulveraria"	"Plagodis"	"Ennominae"	"Geometridae"	"Geometroidea"	942594
"Plagodis serinaria"	"Plagodis"	"Ennominae"	"Geometridae"	"Geometroidea"	942595
"Probole alienaria"	"Probole"	"Ennominae"	"Geometridae"	"Geometroidea"	942608
"Probole amicaria"	"Probole"	"Ennominae"	"Geometridae"	"Geometroidea"	942609
"Probole nepiasaria"	"Probole"	"Ennominae"	"Geometridae"	"Geometroidea"	942610
"Prochoerodes lineola"	"Prochoerodes"	"Ennominae"	"Geometridae"	"Geometroidea"	942614
"Protoboarmia porcelaria"	"Protoboarmia"	"Ennominae"	"Geometridae"	"Geometroidea"	189273
"Psamatodes abydata"	"Psamatodes"	"Ennominae"	"Geometridae"	"Geometroidea"	942639
"Selenia alciphearia"	"Selenia"	"Ennominae"	"Geometridae"	"Geometroidea"	189310
"Selenia kentaria"	"Selenia"	"Ennominae"	"Geometridae"	"Geometroidea"	942724
"Sicya macularia"	"Sicya"	"Ennominae"	"Geometridae"	"Geometroidea"	189323
"Speranza pustularia"	"Speranza"	"Ennominae"	"Geometridae"	"Geometroidea"	942791
"Speranza subcessaria"	"Speranza"	"Ennominae"	"Geometridae"	"Geometroidea"	942799
