scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes	Citations for information on species
Hyles lineata	Hyles	Macroglossini	Macroglossinae	Sphingidae	Bombycoidea	936075	N	N	N	N	N	N	N	N	https://www.inaturalist.org/taxa/49348-Hyles-lineata	Saw photos of them being consumed 	
Pachylia ficus	Pachylia	Dilophonotini	Macroglossinae	Sphingidae	Bombycoidea	936102	N	N	N	N		unsure	N	N	https://www.inaturalist.org/taxa/143834-Pachylia-ficus	very cryptic in some instars and vibrant in others	
Pseudosphinx tetrio	Pseudosphinx	Dilophonotini	Macroglossinae	Sphingidae	Bombycoidea	936118	N	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/124467-Pseudosphinx-tetrio		
Sphecodina abbottii	Sphecodina	Macroglossini	Macroglossinae	Sphingidae	Bombycoidea	936122	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/130350-Sphecodina-abbottii		
Xylophanes pluto	Xylophanes	Macroglossini	Macroglossinae	Sphingidae	Bombycoidea	936141	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143839-Xylophanes-pluto		
Xylophanes tersa	Xylophanes	Macroglossini	Macroglossinae	Sphingidae	Bombycoidea	936143	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/69737-Xylophanes-tersa		
Amorpha juglandis	Amorpha	Smerinthini	Smerinthinae	Sphingidae	Bombycoidea	936021	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/84023-Amorpha-juglandis		
Pachysphinx modesta	Pachysphinx	Smerinthini	Smerinthinae	Sphingidae	Bombycoidea	936104	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143445-Pachysphinx-modesta		
Paonias astylus	Paonias	Smerinthini	Smerinthinae	Sphingidae	Bombycoidea	936106	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143581-Paonias-astylus		
Paonias excaecata	Paonias	Smerinthini	Smerinthinae	Sphingidae	Bombycoidea	936107	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/49716-Paonias-excaecata		
Paonias myops	Paonias	Smerinthini	Smerinthinae	Sphingidae	Bombycoidea	936108	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143446-Paonias-myops		
Smerinthus jamaicensis	Smerinthus	Smerinthini	Smerinthinae	Sphingidae	Bombycoidea	188626	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/142993-Smerinthus-jamaicensis		
Agrius cingulata	Agrius	Acherontiini	Sphinginae	Sphingidae	Bombycoidea	936020	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/119086-Agrius-cingulata		
Ceratomia amyntor	Ceratomia	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936028	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/84470-Ceratomia-amyntor		
Ceratomia catalpae	Ceratomia	Sphingini	Sphinginae	Sphingidae	Bombycoidea	936029	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/143440-Ceratomia-catalpae		
Ceratomia undulosa	Ceratomia	Sphingini	Sphinginae	Sphingidae	Bombycoidea	188619	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/82153-Ceratomia-undulosa		
