scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes	Citations for information on species
Sitochroa palealis	Sitochroa	NA	Pyraustinae	Crambidae	Pyraloidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/62424-Sitochroa-palealis		
Syssphinx albolineata	Syssphinx	NA	Ceratocampinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/293787-Syssphinx-albolineata		
Thyridopteryx ephemeraeformis	Thyridopteryx	NA	Oiketicinae	Psychidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/121594-Thyridopteryx-ephemeraeformis		
Tinea pellionella	Tinea	NA	Tineinae	Tineidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/193928-Tinea-pellionella		
Tolype velleda	Tolype	NA	Poecilocampinae	Lasiocampidae	Lasiocampoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143323-Tolype-velleda		
Tortricidia pallida	Tortricidia	NA	NA	Limacodidae	Zygaenoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/128787-Tortricidia-pallida		
Uresiphita reversalis	Uresiphita	NA	Pyraustinae	Crambidae	Pyraloidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/121716-Uresiphita-reversalis		
Arctia caja	Arctia	Arctiini	Arctiinae	Erebidae	Noctuoidea	188662	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/68330-Arctia-caja		
Ctenucha virginica	Ctenucha	Arctiini	Arctiinae	Erebidae	Noctuoidea	188644	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/119013-Ctenucha-virginica		
Cycnia collaris	Cycnia	Arctiini	Arctiinae	Erebidae	Noctuoidea	938382	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/479737-Cycnia-collaris		
Cycnia tenera	Cycnia	Arctiini	Arctiinae	Erebidae	Noctuoidea	938385	Y	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/479737-Cycnia-collaris	Aposematic clicking???	
Empyreuma pugione	Empyreuma	Arctiini	Arctiinae	Erebidae	Noctuoidea	938538	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/324144-Empyreuma-pugione		
Estigmene acrea	Estigmene	Arctiini	Arctiinae	Erebidae	Noctuoidea	117299	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/121612-Estigmene-acrea		
Euchaetes egle	Euchaetes	Arctiini	Arctiinae	Erebidae	Noctuoidea	938578	Y	N	N	N	Y	Y	N	Y	https://www.inaturalist.org/taxa/81677-Euchaetes-egle		
Halysidota harrisii	Halysidota	Arctiini	Arctiinae	Erebidae	Noctuoidea	938959	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/126397-Halysidota-harrisii		
Halysidota tessellaris	Halysidota	Arctiini	Arctiinae	Erebidae	Noctuoidea	938961	Y	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/120217-Halysidota-tessellaris		
Haploa clymene	Haploa	Arctiini	Arctiinae	Erebidae	Noctuoidea	938962	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/126106-Haploa-clymene		
Haploa confusa	Haploa	Arctiini	Arctiinae	Erebidae	Noctuoidea	938964	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/130821-Haploa-confusa		
Haploa contigua	Haploa	Arctiini	Arctiinae	Erebidae	Noctuoidea	938965	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/220910-Haploa-contigua		
Hypercompe scribonia	Hypercompe	Arctiini	Arctiinae	Erebidae	Noctuoidea	939113	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/63028-Hypercompe-scribonia	Hairs do not urticant	
Hyphantria cunea	Hyphantria	Arctiini	Arctiinae	Erebidae	Noctuoidea	117304	Y	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/127133-Hyphantria-cunea		
Hypoprepia fucosa	Hypoprepia	Lithosiini	Arctiinae	Erebidae	Noctuoidea	939128	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/119953-Hypoprepia-fucosa		
Hypoprepia miniata	Hypoprepia	Lithosiini	Arctiinae	Erebidae	Noctuoidea	939130	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/132415-Hypoprepia-miniata		
Lerina incarnata	Lerina	Arctiini	Arctiinae	Erebidae	Noctuoidea	939301	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/257098-Lerina-incarnata		
Lophocampa caryae	Lophocampa	Arctiini	Arctiinae	Erebidae	Noctuoidea	117307	Y	N	N	N	Y	Y	Y	Y	https://www.inaturalist.org/taxa/82225-Lophocampa-caryae	Social at earlier instars and then disband	
Lophocampa maculata	Lophocampa	Arctiini	Arctiinae	Erebidae	Noctuoidea	117308	Y	N	N	N	Y	Y	N	N	https://www.inaturalist.org/taxa/67691-Lophocampa-maculata	Likely toxic due to species It feeds on and nature of taxonomic family	
Lymire edwardsii	Lymire	Arctiini	Arctiinae	Erebidae	Noctuoidea	939428	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/224215-Lymire-edwardsii		
Phragmatobia fuliginosa	Phragmatobia	Arctiini	Arctiinae	Erebidae	Noctuoidea	188651	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143114-Phragmatobia-fuliginosa		
Arctia parthenos	Platarctia	Arctiini	Arctiinae	Erebidae	Noctuoidea	188660	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/790921-Arctia-parthenos		
Pyrrharctia isabella	Pyrrharctia	Arctiini	Arctiinae	Erebidae	Noctuoidea	117310	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/59675-Pyrrharctia-isabella	Hairs do not urticate	
Seirarctia echo	Seirarctia	Arctiini	Arctiinae	Erebidae	Noctuoidea	940287	Y	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/371319-Seirarctia-echo		
Spilosoma congrua	Spilosoma	Arctiini	Arctiinae	Erebidae	Noctuoidea	940311	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/61240-Spilosoma-congrua		
Spilosoma virginica	Spilosoma	Arctiini	Arctiinae	Erebidae	Noctuoidea	117312	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/60839-Spilosoma-virginica		
Syntomeida epilais	Syntomeida	Arctiini	Arctiinae	Erebidae	Noctuoidea	940551	Y	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/120875-Syntomeida-epilais		
Calyptra canadensis	Calyptra	Calpini	Calpinae	Erebidae	Noctuoidea	938038	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/134081-Calyptra-canadensis		
Plusiodonta compressipalpis	Plusiodonta	Calpini	Calpinae	Erebidae	Noctuoidea	939902	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/125475-Plusiodonta-compressipalpis		
Caenurgina erechtea	Caenurgina	Euclidiii	Erebinae	Erebidae	Noctuoidea	938028	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/126640-Caenurgina-erechtea		
Catocala amica	Catocala	Catocalini	Erebinae	Erebidae	Noctuoidea	938069	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/216250-Catocala-amica		
Catocala ilia	Catocala	Catocalini	Erebinae	Erebidae	Noctuoidea	189015	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/128517-Catocala-ilia		
Catocala illecta	Catocala	Catocalini	Erebinae	Erebidae	Noctuoidea	938107	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/216280-Catocala-illecta		
Catocala maestosa	Catocala	Catocalini	Erebinae	Erebidae	Noctuoidea	938122	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/199169-Catocala-maestosa		
Catocala palaeogama	Catocala	Catocalini	Erebinae	Erebidae	Noctuoidea	938138	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143474-Catocala-palaeogama		
Catocala ultronia	Catocala	Catocalini	Erebinae	Erebidae	Noctuoidea	938154	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/132881-Catocala-ultronia		
Parallelia bistriaris	Parallelia	Poaphilini	Erebinae	Erebidae	Noctuoidea	939807	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/118531-Parallelia-bistriaris		
Phoberia atomaris	Phoberia	Melipotini	Erebinae	Erebidae	Noctuoidea	939841	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/126530-Phoberia-atomaris		
Selenisa sueroides	Selenisa	Ophiusini	Erebinae	Erebidae	Noctuoidea	940288	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/325320-Selenisa-sueroides		
Zale lunata	Zale	Omopterini	Erebinae	Erebidae	Noctuoidea	940714	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/84602-Zale-lunata		
Panopoda rufimargo	Panopoda	Panopodini	Eulepidotinae	Erebidae	Noctuoidea	939750	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/226901-Panopoda-rufimargo		
Phyprosopus callitrichoides	Phyprosopus	NA	Eulepidotinae	Erebidae	Noctuoidea	939862	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/228024-Phyprosopus-callitrichoides		
Hypena madefactalis	Hypena	NA	Hypeninae	Erebidae	Noctuoidea	939087	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143125-Hypena-madefactalis		
Hypena scabra	Hypena	NA	Hypeninae	Erebidae	Noctuoidea	939094	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/118513-Hypena-scabra		
Dasychira obliquata	Dasychira	Orgyiini	Lymantriinae	Erebidae	Noctuoidea	938411	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/218152-Dasychira-obliquata		
Lymantria dispar	Lymantria	Lymantriini	Lymantriinae	Erebidae	Noctuoidea	709249	Y	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/47802-Lymantria-dispar		
Orgyia antiqua	Orgyia	Orgyiini	Lymantriinae	Erebidae	Noctuoidea	939668	Y	N	N	N	N	Y	N	N	https://www.inaturalist.org/taxa/61910-Orgyia-antiqua	Venomous spines	
Orgyia definita	Orgyia	Orgyiini	Lymantriinae	Erebidae	Noctuoidea	939670	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/122716-Orgyia-definita		
Orgyia detrita	Orgyia	Orgyiini	Lymantriinae	Erebidae	Noctuoidea	939671	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/49016-Orgyia-detrita		
Orgyia leucostigma	Orgyia	Orgyiini	Lymantriinae	Erebidae	Noctuoidea	709251	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/81665-Orgyia-leucostigma		
Scolecocampa liburna	Scolecocampa	NA	Scolecocampinae	Erebidae	Noctuoidea	940271	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/230641-Scolecocampa-liburna		
Scoliopteryx libatrix	Scoliopteryx	Scoliopterygini	Scoliopteryginae	Erebidae	Noctuoidea	189022	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/134078-Scoliopteryx-libatrix		
Acronicta afflicta	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937590	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212420-Acronicta-afflicta		
Acronicta americana	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	117343	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/145659-Acronicta-americana		
Acronicta clarescens	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937599	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212422-Acronicta-clarescens		
Acronicta dactylina	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	188664	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/212425-Acronicta-dactylina		
Acronicta funeralis	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937608	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/198777-Acronicta-funeralis		
Acronicta hastulifera	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937612	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212432-Acronicta-hastulifera		
Acronicta impleta	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937614	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/153961-Acronicta-impleta		
Acronicta impressa	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	188672	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212433-Acronicta-impressa		
Acronicta increta	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937616	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212434-Acronicta-increta		
Acronicta interrupta	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937618	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/212436-Acronicta-interrupta		
Acronicta lepusculina	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	117344	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212439-Acronicta-lepusculina		
Acronicta lobeliae	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937623	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212441-Acronicta-lobeliae		
Acronicta longa	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	188673	Y	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/212442-Acronicta-longa		
Acronicta modica	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937626	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212444-Acronicta-modica		
Acronicta oblinita	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	117345	Y	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/129428-Acronicta-oblinita		
Acronicta ovata	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937630	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212446-Acronicta-ovata		
Acronicta retardata	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937636	Y	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/208032-Acronicta-retardata		
Acronicta rubricoma	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	937637	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212451-Acronicta-rubricoma		
Acronicta superans	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	188669	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/212455-Acronicta-superans		
Cerma cerintha	Cerma	NA	Acronictinae	Noctuidae	Noctuoidea	938169	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/205216-Cerma-cerintha		
Cerma cora	Cerma	NA	Acronictinae	Noctuidae	Noctuoidea	938170	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/216524-Cerma-cora		
Harrisimemna trisignata	Harrisimemna	NA	Acronictinae	Noctuidae	Noctuoidea	117494	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/220974-Harrisimemna-trisignata		
Alypia octomaculata	Alypia	NA	Agaristinae	Noctuidae	Noctuoidea	117359	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/84950-Alypia-octomaculata		
Eudryas grata	Eudryas	NA	Agaristinae	Noctuidae	Noctuoidea	938606	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/84333-Eudryas-grata		
Eudryas unio	Eudryas	NA	Agaristinae	Noctuidae	Noctuoidea	938607	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/219719-Eudryas-unio		
Psychomorpha epimenis	Psychomorpha	NA	Agaristinae	Noctuidae	Noctuoidea	940072	N	N	Y	N		Y	N	N	https://www.inaturalist.org/taxa/60774-Psychomorpha-epimenis		
Xerociris wilsonii	Xerociris	NA	Agaristinae	Noctuidae	Noctuoidea	940690	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/204087-Xerociris-wilsonii		
Amphipyra pyramidoides	Amphipyra	Amphipyrini	Amphipyrinae	Noctuidae	Noctuoidea	188954	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/119340-Amphipyra-pyramidoides		
Basilodes chrysopis	Basilodes	Stiriini	Amphipyrinae	Noctuidae	Noctuoidea	937977	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/204078-Basilodes-chrysopis	is this aposematic interesting questionto ask given how well it fits in with the flower it is seen on	
Basilodes pepita	Basilodes	Stiriini	Amphipyrinae	Noctuidae	Noctuoidea	937978	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/143013-Basilodes-pepita		
Crambodes talidiformis	Crambodes	Leuconyctini	Condicinae	Noctuidae	Noctuoidea	938322	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/217671-Crambodes-talidiformis		
Cucullia asteroides	Cucullia	NA	Cuculliinae	Noctuidae	Noctuoidea	188873	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/146625-Cucullia-asteroides		
Cucullia convexipennis	Cucullia	NA	Cuculliinae	Noctuidae	Noctuoidea	938352	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/122261-Cucullia-convexipennis		
Cucullia florea	Cucullia	NA	Cuculliinae	Noctuidae	Noctuoidea	188872	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/217898-Cucullia-florea		
Cucullia intermedia	Cucullia	NA	Cuculliinae	Noctuidae	Noctuoidea	188871	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/209400-Cucullia-intermedia	possibly aposematic	
Pyrrhia exprimens	Pyrrhia	NA	Heliothinae	Noctuidae	Noctuoidea	188974	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/142246-Pyrrhia-exprimens		
Schinia florida	Schinia	NA	Heliothinae	Noctuidae	Noctuoidea	940185	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143316-Schinia-florida		
Schinia nundina	Schinia	NA	Heliothinae	Noctuidae	Noctuoidea	940219		N	N	N		N	N	N	https://www.inaturalist.org/taxa/230549-Schinia-nundina		
Anicla illapsa	Anicla	Noctuini	Noctuinae	Noctuidae	Noctuoidea	937764	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/213630-Anicla-illapsa		
Anicla infecta	Anicla	Noctuini	Noctuinae	Noctuidae	Noctuoidea	937765	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/213631-Anicla-infecta		
Cosmia calami	Cosmia	Xylenini	Noctuinae	Noctuidae	Noctuoidea	938303	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/126616-Cosmia-calami		
Elaphria festivoides	Elaphria	Elaphriini	Noctuinae	Noctuidae	Noctuoidea	188967	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/218928-Elaphria-festivoides		
Himella fidelis	Himella	Orthosiini	Noctuinae	Noctuidae	Noctuoidea	939025	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/221368-Himella-fidelis		
Lithophane antennata	Lithophane	Xylenini	Noctuinae	Noctuidae	Noctuoidea	117409	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/223978-Lithophane-antennata		
Lithophane oriunda	Lithophane	Xylenini	Noctuinae	Noctuidae	Noctuoidea	939383	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/179728-Lithophane-oriunda		
Melanchra adjuncta	Melanchra	Hadenini	Noctuinae	Noctuidae	Noctuoidea	939479	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/204701-Melanchra-adjuncta		
Melanchra assimilis	Melanchra	Hadenini	Noctuinae	Noctuidae	Noctuoidea	939480	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/205826-Melanchra-assimilis		
Morrisonia confusa	Morrisonia	Orthosiini	Noctuinae	Noctuidae	Noctuoidea	939549	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/176925-Morrisonia-confusa		
Mythimna unipuncta	Mythimna	Leucaniini	Noctuinae	Noctuidae	Noctuoidea	939565	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/121183-Mythimna-unipuncta		
Nephelodes minians	Nephelodes	Tholerini	Noctuinae	Noctuidae	Noctuoidea	117421	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/153076-Nephelodes-minians		
Noctua pronuba	Noctua	Noctuini	Noctuinae	Noctuidae	Noctuoidea	771401	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/81687-Noctua-pronuba		
Orthosia hibisci	Orthosia	Orthosiini	Noctuinae	Noctuidae	Noctuoidea	188859	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/226646-Orthosia-hibisci		
Orthosia rubescens	Orthosia	Orthosiini	Noctuinae	Noctuidae	Noctuoidea	939705	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/203454-Orthosia-rubescens		
Papaipema sulphurata	Papaipema	Apameini	Noctuinae	Noctuidae	Noctuoidea	939798	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/226943-Papaipema-sulphurata		
Phosphila miselioides	Phosphila	Phosphilini	Noctuinae	Noctuidae	Noctuoidea	939849	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/227864-Phosphila-miselioides		
Phosphila turbulenta	Phosphila	Phosphilini	Noctuinae	Noctuidae	Noctuoidea	939850	N	N	N	N		Y	Y	Y	https://www.inaturalist.org/taxa/122765-Phosphila-turbulenta		
Protolampra brunneicollis	Protolampra	Noctuini	Noctuinae	Noctuidae	Noctuoidea	771416	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/153450-Protolampra-brunneicollis		
Spodoptera dolichos	Spodoptera	Prodeniini	Noctuinae	Noctuidae	Noctuoidea	940321	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/231423-Spodoptera-dolichos		
Spodoptera eridania	Spodoptera	Prodeniini	Noctuinae	Noctuidae	Noctuoidea	117469	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/231424-Spodoptera-eridania		
Spodoptera frugiperda	Spodoptera	Prodeniini	Noctuinae	Noctuidae	Noctuoidea	117472	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/132468-Spodoptera-frugiperda		
Spodoptera ornithogalli	Spodoptera	Prodeniini	Noctuinae	Noctuidae	Noctuoidea	117474	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/118930-Spodoptera-ornithogalli		
Trichordestra legitima	Trichordestra	Hadenini	Noctuinae	Noctuidae	Noctuoidea	117481	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/146633-Trichordestra-legitima		
Xanthopastis regnatrix	Xanthopastis	Glottulini	Noctuinae	Noctuidae	Noctuoidea	941100	N	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/322588-Xanthopastis-regnatrix		
Calophasia lunula	Calophasia	NA	Oncocnemidinae	Noctuidae	Noctuoidea	938037	N	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/215780-Calophasia-lunula		
Charadra deridens	Charadra	NA	Pantheinae	Noctuidae	Noctuoidea	938182	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/148460-Charadra-deridens		
Panthea furcilla	Panthea	NA	Pantheinae	Noctuidae	Noctuoidea	939752	Y	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/226910-Panthea-furcilla		
Autographa precationis	Autographa	Plusiini	Plusiinae	Noctuidae	Noctuoidea	937936	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/142990-Autographa-precationis		
Trichoplusia ni	Trichoplusia	Argyrogrammatini	Plusiinae	Noctuidae	Noctuoidea	117479	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/202789-Trichoplusia-ni		
Heterocampa biundata	Heterocampa	NA	Heterocampinae	Notodontidae	Noctuoidea	936789	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/82210-Heterocampa-biundata		
Heterocampa guttivitta	Heterocampa	NA	Heterocampinae	Notodontidae	Noctuoidea	117517	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/203462-Heterocampa-guttivitta		
Lochmaeus bilineata	Lochmaeus	NA	Heterocampinae	Notodontidae	Noctuoidea	936819	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/224089-Lochmaeus-bilineata		
Lochmaeus manteo	Lochmaeus	NA	Heterocampinae	Notodontidae	Noctuoidea	936820	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/153443-Lochmaeus-manteo		
Macrurocampa marthesia	Macrurocampa	NA	Heterocampinae	Notodontidae	Noctuoidea	936822	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/177197-Macrurocampa-marthesia		
Misogada unicolor	Misogada	NA	Heterocampinae	Notodontidae	Noctuoidea	936823	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/225178-Misogada-unicolor		
Schizura concinna	Schizura	NA	Heterocampinae	Notodontidae	Noctuoidea	117522	Y	Y	N	N		Y	Y	Y	https://www.inaturalist.org/taxa/155234-Schizura-concinna		
Schizura errucata	Schizura	NA	Heterocampinae	Notodontidae	Noctuoidea	936858	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/230607-Schizura-errucata		
Schizura unicornis	Schizura	NA	Heterocampinae	Notodontidae	Noctuoidea	117523	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/126207-Schizura-unicornis		
Furcula borealis	Furcula	Dicranurini	Notodontinae	Notodontidae	Noctuoidea	936771	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/220228-Furcula-borealis		
Hyperaeschra georgica	Hyperaeschra	Notodontini	Notodontinae	Notodontidae	Noctuoidea	936810	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/132360-Hyperaeschra-georgica		
Symmerista canicosta	Symmerista	NA	Nystaleinae	Notodontidae	Noctuoidea	936861	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/232056-Symmerista-canicosta		
Symmerista leucitys	Symmerista	NA	Nystaleinae	Notodontidae	Noctuoidea	117525	N	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/232057-Symmerista-leucitys		
Datana contracta	Datana	NA	Phalerinae	Notodontidae	Noctuoidea	936758	Y	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/154385-Datana-contracta		
Datana drexelii	Datana	NA	Phalerinae	Notodontidae	Noctuoidea	936760	Y	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/136433-Datana-drexelii		
Datana integerrima	Datana	NA	Phalerinae	Notodontidae	Noctuoidea	117513	Y	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/218166-Datana-integerrima		
Datana major	Datana	NA	Phalerinae	Notodontidae	Noctuoidea	117514	Y	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/218167-Datana-major		
Datana ministra	Datana	NA	Phalerinae	Notodontidae	Noctuoidea	117515	Y	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/47719-Datana-ministra		
Ellida caniplaga	Ellida	NA	Phalerinae	Notodontidae	Noctuoidea	936768	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/219028-Ellida-caniplaga		
Nadata gibbosa	Nadata	NA	Phalerinae	Notodontidae	Noctuoidea	189053	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/82204-Nadata-gibbosa		
Peridea angulosa	Peridea	NA	Phalerinae	Notodontidae	Noctuoidea	936845	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/151770-Peridea-angulosa		
Clostera inclusa	Clostera	NA	Pygaerinae	Notodontidae	Noctuoidea	936748	Y	N	Y	Y		N	Y	Y	https://www.inaturalist.org/taxa/196518-Clostera-inclusa		
Celastrina neglectamajor	Celastrina	Polyommatinae	Polyommatinae	Lycaenidae	Papilionoidea	777898	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/82793-Celastrina-neglectamajor		
