"species","year","cell","juv_mean","juv_sd"
"Parkesia_motacilla",2009,644,165.413666666667,9.59869274290086
"Parkesia_motacilla",2011,646,169.895333333333,4.23501681816384
"Parkesia_motacilla",2012,646,163.662833333333,2.93858092427796
"Parkesia_motacilla",2014,646,162.426,3.28689183621708
"Parkesia_motacilla",2014,676,168.742166666667,8.65880194449986
"Passerina_cyanea",1990,591,191.559166666667,8.38988861730143
"Passerina_cyanea",1993,591,198.448333333333,9.69245348185752
"Passerina_cyanea",1993,676,192.981833333333,3.19356693743107
"Passerina_cyanea",1994,619,176.059333333333,4.51300425697334
"Passerina_cyanea",1994,676,192.450166666667,2.88708142918623
"Passerina_cyanea",1995,619,192.983333333333,9.35660087240748
"Passerina_cyanea",1996,591,197.236333333333,9.24090790734588
"Passerina_cyanea",1997,646,198.2815,7.4237530783489
"Passerina_cyanea",1998,676,184.188666666667,9.8346085234589
"Passerina_cyanea",1999,646,182.0495,7.45633841643672
"Passerina_cyanea",1999,676,195.338833333333,8.46811530399115
"Passerina_cyanea",2000,674,184.318833333333,9.42137493627322
"Passerina_cyanea",2000,701,187.625833333333,8.69908682894351
"Passerina_cyanea",2001,619,196.807666666667,8.94147636330161
"Passerina_cyanea",2001,674,179.548166666667,4.13672963352683
"Passerina_cyanea",2001,676,194.503666666667,3.83611424720926
"Passerina_cyanea",2002,644,186.808833333333,7.62371139722206
"Passerina_cyanea",2002,646,200.763,8.36912010679102
"Passerina_cyanea",2003,699,184.496666666667,6.44048928311531
"Passerina_cyanea",2004,644,209.141833333333,2.70830927494326
"Passerina_cyanea",2004,701,199.751166666667,8.27764067804074
"Passerina_cyanea",2005,726,192.646,9.5666575923664
"Passerina_cyanea",2006,699,186.738333333333,7.06225953977833
"Passerina_cyanea",2006,726,183.554333333333,6.58973585651696
"Passerina_cyanea",2007,619,186.742666666667,8.43055703601756
"Passerina_cyanea",2007,646,201.977833333333,9.48134965625181
"Passerina_cyanea",2008,646,187.576333333333,5.88279478093771
"Passerina_cyanea",2008,673,203.969833333333,9.09930709104518
"Passerina_cyanea",2008,729,191.566,4.70853895136373
"Passerina_cyanea",2009,619,190.975,7.5356158286933
"Passerina_cyanea",2010,702,188.250333333333,4.87971670913546
"Passerina_cyanea",2010,729,191.417,9.74634681368881
"Passerina_cyanea",2011,702,193.323666666667,8.6653383028904
"Passerina_cyanea",2012,702,187.273833333333,4.74344446049287
"Passerina_cyanea",2015,619,198.866166666667,7.50968183030553
"Passerina_cyanea",2016,729,198.6115,7.30076146277378
"Pheucticus_ludovicianus",1993,595,181.522833333333,9.88232877628359
"Pheucticus_ludovicianus",1999,621,153.558833333333,8.25024543456197
"Pheucticus_ludovicianus",2002,591,188.339166666667,5.94654181286437
"Pheucticus_ludovicianus",2005,591,183.107,3.9280770484063
"Pheucticus_ludovicianus",2007,591,182.405333333333,3.58610953343869
"Pheucticus_ludovicianus",2009,591,185.193166666667,4.99269544503334
"Pheucticus_ludovicianus",2012,591,198.792333333333,8.75838604480912
"Pheucticus_ludovicianus",2014,593,167.826666666667,5.37209755380306
"Pipilo_erythrophthalmus",2002,736,188.019,8.6221823999625
"Pipilo_erythrophthalmus",2003,622,153.235166666667,8.85456175366858
"Pipilo_erythrophthalmus",2006,622,197.199,5.59654231476723
