"jd_wk","year","lat_bin","lon_bin","day_count"
14,2016,37,-123,4
14,2016,37,-121,2
14,2016,37,-117,1
14,2016,39,-121,1
14,2016,45,11,1
14,2016,47,-123,1
14,2017,-41,175,1
14,2017,-35,175,1
14,2017,-31,31,1
14,2017,-19,15,1
14,2017,9,-85,1
14,2017,9,-83,1
14,2017,9,-79,4
14,2017,11,-85,1
14,2017,13,77,1
14,2017,13,99,2
14,2017,15,-97,8
14,2017,15,-87,1
14,2017,15,-85,3
14,2017,17,-95,1
14,2017,17,-93,2
14,2017,17,-89,2
14,2017,19,-105,3
14,2017,19,-101,1
14,2017,19,-99,13
14,2017,19,-97,3
14,2017,19,-71,24
14,2017,21,-105,10
14,2017,21,-103,1
14,2017,21,-101,4
14,2017,21,-99,36
14,2017,21,-97,2
14,2017,21,-89,2
14,2017,21,-87,1
14,2017,23,-107,13
14,2017,23,-99,1
14,2017,23,-97,1
14,2017,23,-83,1
14,2017,23,115,3
14,2017,25,-101,8
14,2017,25,-81,6
14,2017,27,-99,9
14,2017,27,-97,12
14,2017,27,-83,9
14,2017,27,-81,17
14,2017,29,-95,5
14,2017,29,-83,11
14,2017,29,-81,5
14,2017,31,-99,4
14,2017,31,-97,13
14,2017,31,-95,1
14,2017,33,-117,5
14,2017,33,-115,3
14,2017,33,-97,4
14,2017,33,-95,1
14,2017,33,-81,1
14,2017,35,-121,2
14,2017,35,-119,6
14,2017,35,-117,7
14,2017,37,-123,16
14,2017,37,-5,2
14,2017,41,-81,1
14,2017,41,1,1
14,2018,-41,173,1
14,2018,-41,175,1
14,2018,-39,177,1
14,2018,-37,145,2
14,2018,-37,147,8
14,2018,-37,175,1
14,2018,-35,23,1
14,2018,-35,151,1
14,2018,-33,23,2
14,2018,-33,25,1
14,2018,-29,31,1
14,2018,-27,29,1
14,2018,-21,-43,1
14,2018,-19,-63,1
14,2018,-17,31,1
14,2018,-15,29,2
14,2018,-7,107,1
14,2018,-7,111,2
14,2018,-1,37,1
14,2018,1,31,1
14,2018,1,103,5
14,2018,5,-73,1
14,2018,9,-85,1
14,2018,9,-83,5
14,2018,9,-81,2
14,2018,9,-79,5
14,2018,11,-85,6
14,2018,11,-75,1
14,2018,11,-73,1
14,2018,13,-85,2
14,2018,15,-97,53
14,2018,15,-93,1
14,2018,15,-91,3
14,2018,15,-89,1
14,2018,15,-61,1
14,2018,17,-99,2
14,2018,17,-97,4
14,2018,17,-93,7
14,2018,17,-91,2
14,2018,19,-105,1
14,2018,19,-103,4
14,2018,19,-99,8
14,2018,19,-97,5
14,2018,19,-89,10
14,2018,19,-71,3
14,2018,19,-69,16
14,2018,19,-65,1
14,2018,19,103,1
14,2018,21,-105,10
14,2018,21,-101,1
14,2018,21,-99,2
14,2018,21,-89,2
14,2018,21,-87,1
14,2018,23,-109,1
14,2018,23,-107,5
14,2018,23,115,1
14,2018,25,-107,1
14,2018,25,-101,2
14,2018,25,-81,17
14,2018,27,-109,1
14,2018,27,-99,13
14,2018,27,-97,1
14,2018,27,-83,10
14,2018,27,-81,15
14,2018,29,-111,1
14,2018,29,-103,5
14,2018,29,-99,3
14,2018,29,-97,9
14,2018,29,-95,2
14,2018,29,-83,1
14,2018,29,-81,1
14,2018,31,-101,1
14,2018,31,-99,1
14,2018,31,-97,4
14,2018,33,-119,7
14,2018,33,-117,11
14,2018,33,-111,5
14,2018,33,-107,1
14,2018,33,-97,1
14,2018,35,-121,1
14,2018,35,-119,17
14,2018,37,-123,10
14,2018,37,-121,4
14,2018,39,-123,1
14,2018,39,-121,2
14,2018,41,-87,1
14,2018,45,-123,1
21,2015,-41,175,1
21,2015,-39,-71,1
21,2015,-25,31,1
21,2015,-23,29,1
21,2015,9,-83,4
21,2015,9,-81,1
21,2015,11,-85,2
21,2015,17,-89,1
21,2015,19,-101,1
21,2015,19,-99,18
21,2015,19,-95,1
21,2015,19,-89,1
21,2015,21,-105,8
21,2015,21,-101,1
21,2015,21,-99,1
21,2015,23,-107,15
21,2015,23,-99,4
21,2015,23,89,1
21,2015,25,-109,1
21,2015,25,-81,5
21,2015,27,-99,4
21,2015,27,-97,3
21,2015,27,-83,2
21,2015,27,-81,16
21,2015,29,-101,1
21,2015,29,-95,1
21,2015,29,-83,3
21,2015,29,-81,2
21,2015,31,-93,1
21,2015,31,-91,1
21,2015,33,-119,2
21,2015,33,-97,4
21,2015,35,-119,6
21,2015,37,-123,8
21,2015,37,-121,1
21,2015,39,-123,1
21,2016,-45,171,1
21,2016,-37,175,1
21,2016,-35,21,1
21,2016,-1,131,1
21,2016,9,-85,3
21,2016,11,-85,1
21,2016,13,-85,5
21,2016,15,-87,1
21,2016,17,-97,1
21,2016,17,-95,3
21,2016,17,-93,4
21,2016,17,-91,1
21,2016,19,-105,5
21,2016,19,-99,1
21,2016,19,-95,10
21,2016,19,-71,1
21,2016,19,-67,1
21,2016,21,-105,15
21,2016,21,-89,2
21,2016,21,-87,1
21,2016,23,-107,15
21,2016,23,121,1
21,2016,25,-81,4
21,2016,27,-99,6
21,2016,27,-97,1
21,2016,27,-81,1
21,2016,29,-97,4
21,2016,29,-95,1
21,2016,29,-83,1
21,2016,29,-81,4
21,2016,29,-17,1
21,2016,31,-99,3
21,2016,31,-97,3
21,2016,33,-119,4
21,2016,33,-117,3
21,2016,33,-97,1
21,2016,35,-119,4
21,2016,35,-117,1
21,2016,37,-123,8
21,2016,37,-121,4
21,2016,37,-115,1
21,2016,37,-77,1
21,2016,37,-9,1
21,2016,39,-123,1
21,2016,39,-9,1
21,2017,-39,179,1
21,2017,-33,23,2
21,2017,-31,-65,1
21,2017,-25,15,1
21,2017,-25,31,3
21,2017,-23,27,2
21,2017,-9,115,1
21,2017,1,103,1
21,2017,9,-83,1
21,2017,9,-79,1
21,2017,15,-93,4
21,2017,15,-87,2
21,2017,15,-85,4
21,2017,17,-93,1
21,2017,17,-91,1
21,2017,17,-89,2
21,2017,19,-105,1
21,2017,19,-103,6
21,2017,19,-101,5
21,2017,19,-99,20
21,2017,19,-97,7
21,2017,19,-95,3
21,2017,19,-73,2
21,2017,19,-65,1
21,2017,21,-159,1
21,2017,21,-105,7
21,2017,21,-101,5
21,2017,21,-99,14
21,2017,21,-97,3
21,2017,23,-109,1
21,2017,23,-107,12
21,2017,23,-81,1
21,2017,23,115,1
21,2017,23,121,1
21,2017,25,-109,3
21,2017,25,-101,3
21,2017,25,-97,10
21,2017,25,-81,6
21,2017,27,-99,1
21,2017,27,-97,42
21,2017,27,-83,2
21,2017,27,-81,5
21,2017,29,-101,1
21,2017,29,-99,2
21,2017,29,-97,5
21,2017,29,-95,7
21,2017,29,-81,4
21,2017,31,-113,1
21,2017,31,-99,8
21,2017,31,-97,39
21,2017,31,-93,1
21,2017,33,-117,1
21,2017,33,-111,1
21,2017,33,-97,6
21,2017,35,-119,5
21,2017,35,-117,6
21,2017,35,-93,1
21,2017,37,-123,5
21,2017,37,-121,3
21,2017,37,-87,1
21,2017,37,-5,1
21,2017,39,-123,2
21,2017,39,-121,2
21,2017,43,-71,1
21,2018,-43,147,1
21,2018,-43,173,1
21,2018,-41,173,1
21,2018,-39,147,2
21,2018,-37,147,8
21,2018,-37,149,1
21,2018,-33,23,2
21,2018,-33,25,2
21,2018,-21,-43,1
21,2018,1,103,11
21,2018,5,-75,3
21,2018,5,-71,1
21,2018,9,-85,2
21,2018,9,-81,1
21,2018,9,-79,2
21,2018,11,-85,4
21,2018,11,-83,1
21,2018,13,-87,2
21,2018,15,-97,22
21,2018,15,-89,1
21,2018,15,-61,1
21,2018,17,-97,4
21,2018,17,-93,5
21,2018,19,-105,1
21,2018,19,-99,16
21,2018,19,-97,1
21,2018,19,-89,17
21,2018,19,-75,3
21,2018,19,-71,4
21,2018,19,-69,1
21,2018,19,-65,3
21,2018,19,83,1
21,2018,19,99,3
21,2018,19,109,5
21,2018,21,-105,9
21,2018,21,-101,1
21,2018,21,-87,4
21,2018,23,-109,1
21,2018,23,-107,2
21,2018,23,-99,1
21,2018,23,115,1
21,2018,25,-101,3
21,2018,25,-99,1
21,2018,25,-81,3
21,2018,27,-99,5
21,2018,27,-97,7
21,2018,27,-83,4
21,2018,27,-81,27
21,2018,29,-95,1
21,2018,29,-83,4
21,2018,29,-81,3
21,2018,29,-17,1
21,2018,31,-103,1
21,2018,31,-97,2
21,2018,31,-87,1
21,2018,31,-85,2
21,2018,33,-119,3
21,2018,33,-117,11
21,2018,33,-111,10
21,2018,33,-99,1
21,2018,33,-97,5
21,2018,35,-121,1
21,2018,35,-119,16
21,2018,35,-117,1
21,2018,37,-123,12
21,2018,37,-121,2
21,2018,37,-87,1
21,2018,37,-77,2
21,2018,39,-123,3
21,2018,39,-87,1
21,2018,43,-81,1
21,2018,45,-1,1
21,2018,45,7,1
28,2015,-41,175,1
28,2015,-29,27,1
28,2015,-23,27,1
28,2015,-23,29,4
28,2015,-19,33,2
28,2015,9,-83,2
28,2015,11,-85,2
28,2015,17,-93,2
28,2015,19,-103,1
28,2015,19,-99,20
28,2015,19,-71,1
28,2015,21,-105,8
28,2015,23,-107,32
28,2015,25,-107,1
28,2015,25,-81,4
28,2015,27,-99,3
28,2015,27,-81,6
