"taxon.name","class"
"Pycnonotus capensis","Aves"
"Andropadus importunus","Aves"
"Pieris rapae","Insecta"
"Cordyline australis","Liliopsida"
"Apis mellifera","Insecta"
"Metrosideros excelsa","Magnoliopsida"
"Chauliognathus imperialis","Insecta"
"Neosebastes pandus","Actinopterygii"
"Tadorna tadornoides","Aves"
"Idea durvillei",NA
"Cyrestis paulinus",NA
"Cupha prosope","Insecta"
"Tenodera costalis","Insecta"
"Vindula arsinoe","Insecta"
"Mycalesis phidon",NA
"Leptopoma multilabre","Gastropoda"
"Stemona lucida",NA
"Trachycarpus fortunei","Liliopsida"
"Acrida conica","Insecta"
"Austracantha minax","Arachnida"
"Poecilometis cooki","Insecta"
"Crithagra sulphurata","Aves"
"Microcarbo coronatus","Aves"
"Morus capensis","Aves"
"Chroicocephalus hartlaubii","Aves"
"Ploceus capensis","Aves"
"Anthus cinnamomeus","Aves"
"Acacia longissima","Magnoliopsida"
"Westringia fruticosa","Magnoliopsida"
"Pandanus gemmifer","Liliopsida"
"Grapsus albolineatus","Malacostraca"
"Centella uniflora","Magnoliopsida"
"Rhyothemis graphiptera","Insecta"
"Scythrops novaehollandiae","Aves"
"Malurus cyaneus","Aves"
"Macropus fuliginosus","Mammalia"
"Periophthalmus novaeguineaensis",NA
"Lomandra longifolia","Liliopsida"
"Cercotrichas coryphoeus","Aves"
"Falco rupicolus","Aves"
"Hirundo rustica","Aves"
"Chlidonias hybrida","Aves"
"Creatophora cinerea","Aves"
"Merops apiaster","Aves"
"Falco biarmicus","Aves"
"Anthobaphes violacea","Aves"
"Prinia maculosa","Aves"
"Eremopterix verticalis","Aves"
"Hieraaetus pennatus","Aves"
"Euplectes orix","Aves"
"Serinus canicollis","Aves"
"Melaenornis silens","Aves"
"Hyporhamphus affinis","Actinopterygii"
"Calandrella cinerea","Aves"
"Arothron hispidus","Actinopterygii"
"Arothron manilensis","Actinopterygii"
"Macropus giganteus","Mammalia"
"Manorina melanocephala","Aves"
"Sparaxis bulbifera","Liliopsida"
"Hippocampus whitei","Actinopterygii"
"Anthochaera chrysoptera","Aves"
"Cacatua galerita","Aves"
"Strepera graculina","Aves"
"Ulex europaeus","Magnoliopsida"
"Austroderia richardii","Liliopsida"
"Trifolium repens","Magnoliopsida"
"Juncus bufonius","Liliopsida"
"Nostoc commune","Cyanophyceae"
"Euphorbia candelabrum","Magnoliopsida"
"Hydrocotyle moschata","Magnoliopsida"
"Isolepis distigmatosa","Liliopsida"
"Bellardia viscosa","Magnoliopsida"
"Carex leporina","Liliopsida"
"Leptospermum scoparium","Magnoliopsida"
"Plantago lanceolata","Magnoliopsida"
"Asura lydia","Insecta"
"Prunella vulgaris","Magnoliopsida"
"Juncus sarophorus","Liliopsida"
"Dactylis glomerata","Liliopsida"
"Hypochaeris radicata","Magnoliopsida"
"Dacelo novaeguineae","Aves"
"Platycercus elegans","Aves"
"Cyclochila australasiae","Insecta"
"Stigmochelys pardalis","Reptilia"
"Persicaria attenuata","Magnoliopsida"
"Persicaria hydropiper","Magnoliopsida"
"Fellaster zelandiae","Echinoidea"
"Cyperus congestus","Liliopsida"
"Acanthocercus atricollis","Reptilia"
"Catostylus mosaicus","Scyphozoa"
"Tragelaphus oryx","Mammalia"
"Physalia physalis","Hydrozoa"
"Brunonia australis","Magnoliopsida"
"Arotrolepis filicauda","Actinopterygii"
"Desis marina","Arachnida"
"Acanthoclinus fuscus","Actinopterygii"
"Guinusia chabrus","Malacostraca"
"Forsterygion lapillum","Actinopterygii"
"Allomycterus pilatus","Actinopterygii"
"Scorpis lineolata","Actinopterygii"
"Leptograpsus variegatus","Malacostraca"
"Haliastur sphenurus","Aves"
"Calidris minuta","Aves"
"Himantopus himantopus","Aves"
"Bucorvus leadbeateri","Aves"
"Coracias caudatus","Aves"
"Ardeotis kori","Aves"
"Dendroperdix sephaena","Aves"
"Tockus ruahae",NA
"Helogale parvula","Mammalia"
"Coracias garrulus","Aves"
"Madoqua kirkii","Mammalia"
"Polihierax semitorquatus","Aves"
"Heterohyrax brucei","Mammalia"
"Turdoides jardineii","Aves"
"Anseranas semipalmata","Aves"
"Wallabia bicolor","Mammalia"
"Latrodectus hasselti","Arachnida"
"Erodium moschatum","Magnoliopsida"
"Pachycephala rufiventris","Aves"
"Philemon citreogularis","Aves"
"Phalaenoides glycinae","Insecta"
"Correa reflexa","Magnoliopsida"
"Entomyzon cyanotis","Aves"
"Pseudomantis albofimbriata","Insecta"
"Chloris gayana","Liliopsida"
"Agrostis capillaris","Liliopsida"
"Rumex acetosella","Magnoliopsida"
"Trifolium dubium","Magnoliopsida"
"Acaena anserinifolia","Magnoliopsida"
"Juncus planifolius","Liliopsida"
"Isolepis prolifera","Liliopsida"
"Lotus pedunculatus","Magnoliopsida"
"Epilobium brunnescens","Magnoliopsida"
"Agrotis munda","Insecta"
"Arkys walckenaeri","Arachnida"
"Cylindrococcus spiniferus","Insecta"
"Lunella smaragdus","Gastropoda"
"Polystichum vestitum","Polypodiopsida"
"Veronica salicifolia","Magnoliopsida"
"Hoheria glabrata","Magnoliopsida"
"Thylogale stigmatica","Mammalia"
"Telephlebia godeffroyi","Insecta"
"Anthus leucophrys","Aves"
"Ptyonoprogne fuligula","Aves"
"Phascolarctos cinereus","Mammalia"
"Lunella undulata","Gastropoda"
"Trichosurus vulpecula","Mammalia"
"Tadorna variegata","Aves"
"Turdus merula","Aves"
"Lessertia frutescens","Magnoliopsida"
"Petrolisthes elongatus","Malacostraca"
"Goniaea vocans","Insecta"
"Dolomedes dondalei","Arachnida"
"Nanometa lagenifera",NA
"Clitarchus hookeri","Insecta"
"Huberia striata","Insecta"
"Haustrum scobina","Gastropoda"
"Austrosciapus proximus","Insecta"
"Turdus philomelos","Aves"
"Nothofagus truncata","Magnoliopsida"
"Hemidactylus frenatus","Reptilia"
"Pternistis capensis","Aves"
"Microsorum pustulatum","Polypodiopsida"
"Arthurdendyus triangulatus",NA
"Veronica pinguifolia","Magnoliopsida"
"Luzula pumila","Liliopsida"
"Brachaspis nivalis","Insecta"
"Celmisia sessiliflora","Magnoliopsida"
"Ranunculus insignis","Magnoliopsida"
"Aciphylla monroi","Magnoliopsida"
"Pachycladon fastigiatum",NA
"Argyrophenga antipodum","Insecta"
"Myosotis australis","Magnoliopsida"
"Alpinacris crassicauda","Insecta"
"Celmisia insignis","Magnoliopsida"
"Platycercus eximius","Aves"
"Fulica atra","Aves"
"Cryptoblepharus buchananii","Reptilia"
"Anas superciliosa","Aves"
"Corcorax melanorhamphos","Aves"
"Nymphaea lotus","Magnoliopsida"
"Erica parviporandra",NA
"Erica similis","Magnoliopsida"
"Erica melanthera","Magnoliopsida"
"Erica tenuis","Magnoliopsida"
"Erica tradouwensis","Magnoliopsida"
"Erica vestita","Magnoliopsida"
"Erica transparens","Magnoliopsida"
"Erica curviflora","Magnoliopsida"
"Erica pubigera","Magnoliopsida"
"Erica condensata",NA
"Erica longimontana",NA
"Erica conferta","Magnoliopsida"
"Erica penicilliformis","Magnoliopsida"
"Erica hispidula","Magnoliopsida"
"Erica blenna",NA
"Erica cubica","Magnoliopsida"
"Erica muscosa","Magnoliopsida"
"Haplocarpha nervosa","Magnoliopsida"
"Mictis profana","Insecta"
"Orobanche minor","Magnoliopsida"
"Helpis minitabunda","Arachnida"
"Pseudocoremia productata","Insecta"
"Rhabdothamnus solandri","Magnoliopsida"
"Cichladusa arquata","Aves"
"Hermetia illucens","Insecta"
