"user.login","all_obs","shannonH","shannonE"
"acme309",3,1.09861228866811,0.217005761176051
"acmorr17",17,1.72746355714217,0.341220963927131
"acollerton",4,1.03972077083992,0.205373087133588
"acollins95125",7,0.410116318288409,0.0810091100735737
"acomaria",1,0,0
"acorncap",865,1.67510827756319,0.330879374438454
"acorns",57,1.16813797366612,0.230738972018405
"acorona",28,1.49769849797668,0.29583612518997
"acosta_r_904",7,1.74786809746676,0.345251414751555
"acoval",5,0.500402423538188,0.0988430676903251
"acpb",1,0,0
"acreklaw",50,2.09893141424084,0.414595953369367
"acsidental",1,0,0
"act_ruralservices",2,0.693147180559945,0.136915391422392
"actater",5,1.33217904021012,0.263141537397196
"acuatica",4,1.03972077083992,0.205373087133588
"acurtis",11,1.2945451658449,0.255707825216049
"ada13",2,0,0
"adaaading",85,2.21561022205443,0.437643186468679
"adabos",1,0,0
"adair",191,1.57319848633692,0.310749423185898
"adam_808",77,1.6560329360276,0.327111476470881
"adam304",1,0,0
"adam305",6,0.636514168294813,0.125728833561122
"adamadriatico",2,0.693147180559945,0.136915391422392
"adambryant",976,1.65439508491622,0.326787956398527
"adamganson",26,0.847049069047651,0.16731519379325
"adamkeith",45,1.02999709930446,0.203452397947108
"adamkeith1",1,0,0
"adamlerchenfeld",8,1.73286795139986,0.34228847855598
"adammyates",62,1.46203367942423,0.288791355003971
"adamold",328,1.94616874740552,0.384421178211818
"adams_kaylee_112",10,1.47080847632211,0.290524615681674
"adamseroka",176,1.19277165205959,0.235604792458864
"adamt2",119,1.05645030642207,0.20867762472212
"adamtun",4,0,0
"adamxxp",250,2.19818262592004,0.43420076296439
"adamyeoman",18,1.03501663348432,0.204443892259239
"adansie",13,1.73265872019921,0.342247149711921
"adantapia",4,1.03972077083992,0.205373087133588
"adarb",7,1.00424247305408,0.198365159864196
"adavenf",11,1.46813993901621,0.289997507096355
"adclar3",3,0.636514168294813,0.125728833561122
"addie11",14,1.53672246943722,0.303544419297232
"addieswenson",39,1.80977039189465,0.35747879893379
"addyblaxter22",7,1.5498260458782,0.306132731488015
"addylynnn",2,0,0
"adeangulo23",3,0,0
"adebayo_r_04",10,1.88669678465808,0.372673850535109
"adeleburroni",1,0,0
"adellabella",26,1.32607555649631,0.261935933616133
"adelpha",30,0.388734390220929,0.0767855986277658
"adelsonrochadantas",1,0,0
"adenaarviso",42,1.60554723127754,0.317139178781513
"adenomar",2,0,0
"adevries75",2,0,0
"adfloyd",436,1.85175999321259,0.365772885473205
"adiamond",3233,1.53550851123307,0.303304629585387
"adibou",1,0,0
"adil-kuhs",4,0.693147180559945,0.136915391422392
"adil1901",9,1.21488965394912,0.239973698473513
"adimaggio",4,0.562335144618808,0.111076461962746
"adit",222,1.10117264085988,0.217511500263429
"adityadhiran",9,1.00271826451752,0.198064087286473
"adlaurie",46,1.61270033904459,0.318552111816921
"adlerdehm",2,0.693147180559945,0.136915391422392
"adlu",23,0.873464144532151,0.17253288853521
"adnanilyas",39,1.35204276200313,0.267065161875043
"adnanshihabi",16,2.16608493924983,0.427860598194975
"adnohrtrf",1,0,0
"adohryienl",6,0.867563228481461,0.171367297368586
"adorantes",355,1.08462954000715,0.214243788596821
"adpgdl",4,0,0
"adrained",344,1.56060940762021,0.308262738267474
"adriamir",10,1.22752941145721,0.242470393829479
"adrian114",80,0.704536114739983,0.139165015203425
"adrian169",7,1.47507631105469,0.291367628939646
"adrian179",1,0,0
"adrian182",4,0,0
"adriana07",1,0,0
"adriana87",10,1.08889997534522,0.215087315545001
"adrianabianco",21,0.501046913759097,0.0989703720108769
"adrianabowen",3,0,0
"adrianaguilar",6,0.693147180559945,0.136915391422392
"adriananelly",762,1.84783000919343,0.364996606905886
"adriananiembromontes",11,0.474139313057837,0.0936553901634802
"adrianarosado",1,0,0
"adrianbt_itea",2,0.693147180559945,0.136915391422392
"adriancc",3,0,0
"adriang1",3,0.636514168294813,0.125728833561122
"adriangalarza",1,0,0
"adriangrc24",17,1.51189655853439,0.298640627715864
"adriangzz99",158,1.61325198232733,0.318661076345811
"adrianjana",206,1.22699555711865,0.242364943100143
"adrianjin",7,1.74786809746676,0.345251414751555
"adrianlandreth",4,1.03972077083992,0.205373087133588
"adriannachow",10,0.673011667009257,0.132938080691565
"adrianorocharodrigues",2,0,0
"adriee",23,1.89628522004315,0.374567826909383
"adrienne49",1,0,0
"adrienne61",1,0,0
"adriennec32",16,1.10343290963819,0.217957964727516
"adriennemoore",69,1.77395156786679,0.350403608484191
"adriennenicotra",6,0.636514168294813,0.125728833561122
"adriennepatrick",8,0.661563238157982,0.130676705097312
"adrims12",4,0.562335144618808,0.111076461962746
"adrinou",485,1.53564834704433,0.303332250955525
"adriscoll",629,1.22457475424156,0.241886768792046
"adrivireo",7,0.410116318288409,0.0810091100735737
"adsonlucas",1,0,0
"adsweet",15,1.27464262571977,0.251776533063449
"adub360",1,0,0
"aduval22",1026,1.45222334922289,0.286853548377657
"adv7440",28,0,0
"adventure_us",89,1.13386994235294,0.223970105243632
"adventurebird",157,0.614104283747063,0.121302272795042
"adventurejustin",14,0.257318640543832,0.0508274193106808
"adventureswithboy123",41,1.5817732904738,0.312443179862254
"adventurorrs",46,1.33117890126622,0.262943982795776
"adventurous_mitch",5,0.950270539233235,0.187704237260522
"adzebill",142,2.06466315599112,0.407827041768467
"aebrewster",26,1.86096850090341,0.367591815810461
"aec0922",1,0,0
"aecardenas",20,1.95601150271407,0.386365389677348
"aechols",3,0.636514168294813,0.125728833561122
"aedansruibhuaine",2,0.693147180559945,0.136915391422392
