"user.login","all_obs","shannonH","shannonE"
"aanandnair",1,0,0
"aananjaymajumdar",1,0,0
"aanarehood",1,0,0
"aanaya08",3,1.09861228866811,0.341303097242993
"aanchante",1,0,0
"aanderson84",7,1.15374194270109,0.358430087233431
"aandjb",2,0.693147180559945,0.215338279036697
"aandm",15,1.0625354080616,0.330095184117612
"aandrea",2,0.693147180559945,0.215338279036697
"aandroski",9,1.42706104338072,0.443341440000767
"aandryrah",2,0.693147180559945,0.215338279036697
"aangel3116",1,0,0
"aanjaneyac",1,0,0
"aannggiiee",1,0,0
"aaoellis",4,0.562335144618808,0.174699235141149
"aaohler",462,1.86685830279336,0.579972140699089
"aaperez9",2,0.693147180559945,0.215338279036697
"aapril",4,0.562335144618808,0.174699235141149
"aaq",3,0.636514168294813,0.197744244551862
"aaqilahsemaar",1,0,0
"aaranda",8,1.49417513828931,0.464191605884793
"aarantia",1,0,0
"aarati",1,0,0
"aardo",1,0,0
"aardvarkoclark",4,0.562335144618808,0.174699235141149
"aardvarkp",1,0,0
"aardvarkqueen",1,0,0
"aardvarkwizard",4,1.03972077083992,0.323007418555045
"aarely",1,0,0
"aarenas",20,1.26100156517892,0.391752162490006
"aarendow",4,1.03972077083992,0.323007418555045
"aarenmarie",3,0.636514168294813,0.197744244551862
"aareyes",2,0.693147180559945,0.215338279036697
"aarft",3,0.636514168294813,0.197744244551862
"aaricbryan",1,0,0
"aarionalee",2,0.693147180559945,0.215338279036697
"aarizpe",1,0,0
"aarman",3,0.636514168294813,0.197744244551862
"aarmesto",23,1.25440500404061,0.38970282554841
"aarmontrout",2,0,0
"aarmstrong",109,1.21593106049927,0.377750222952157
"aaroms",10,1.16828245017656,0.362947349863799
"aaron_1101",1,0,0
"aaron_bastian",25,1.23183088871187,0.382689782313148
"aaron_bendeck5939",4,1.03972077083992,0.323007418555045
"aaron_brees",118,1.40993647533286,0.438021393817077
"aaron_cassandra",7,1.07899220787758,0.335207776435975
"aaron_chakraborty",2,0.693147180559945,0.215338279036697
"aaron_dp",8,0,0
"aaron_echols",107,1.76648558344144,0.548789602194042
"aaron_fool",1,0,0
"aaron_lam",1,0,0
"aaron_m",5,0.500402423538188,0.155458753541286
"aaron_michael",1,0,0
"aaron_r",3,0.636514168294813,0.197744244551862
"aaron_rdgz",2,0.693147180559945,0.215338279036697
"aaron_sandoval_martinez",1,0,0
"aaron_slack",1,0,0
"aaron_w_907",2,0.693147180559945,0.215338279036697
"aaron1043",1,0,0
"aaron109",19,1.63110747915812,0.506732029411203
"aaron142",1,0,0
"aaron174",1,0,0
"aaron183",1,0,0
"aaron184",1,0,0
"aaron190",2,0.693147180559945,0.215338279036697
"aaron1982",1,0,0
"aaron22",1,0,0
"aaron240",2,0,0
"aaron242",4,0.562335144618808,0.174699235141149
"aaron306",1,0,0
"aaron31",1,0,0
"aaron312",1,0,0
"aaron323",1,0,0
"aaron325",1,0,0
"aaron328",5,0.500402423538188,0.155458753541286
"aaron338",9,1.14905969697062,0.356975465811164
"aaron349",1,0,0
"aaron373",1,0,0
"aaron376",9,1.73512645696292,0.539047341794854
"aaron378",1,0,0
"aaron380",4,1.03972077083992,0.323007418555045
