"Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Trap","Frass.mass..mg.","Frass.number","Method","Notes"
"Prairie Ridge","5/21/2018",09:07:00,"5/24/2018",10:20:00,"11DBB",1.3,11,"Funnel/Paper","edge slightly folded"
"Prairie Ridge","5/21/2018",08:58:00,"5/24/2018",10:28:00,"7DAL",3.5,5,"Funnel/Paper","edges folded over funnel"
"Prairie Ridge","5/21/2018",09:52:00,"5/24/2018",09:19:00,"1CZE",4.7,25,"Funnel/Paper","Tilted"
"Prairie Ridge","5/21/2018",09:43:00,"5/24/2018",09:24:00,"3CZI",1.1,11,"Funnel/Paper",NA
"Prairie Ridge","5/21/2018",09:38:00,"5/24/2018",09:32:00,"3CZP",3.7,5,"Funnel/Paper",NA
"Prairie Ridge","5/21/2018",09:23:00,"5/24/2018",09:50:00,"5DAA",1.3,6,"Funnel/Paper",NA
"Prairie Ridge","5/21/2018",09:28:00,"5/24/18",09:43:00,"4CZS",5.5,27,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",NA,"5/25/2018",NA,"1DBP",NA,NA,"Funnel/Paper","destroyed*need code"
"Botanical Garden","5/22/2018",08:49:00,"5/25/2018",09:39:00,"7DCQ",1.2,6,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",09:35:00,"5/25/2018",08:47:00,"2DBS",0.6,11,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",08:55:00,"5/25/2018",09:28:00,"6DCM",12.1,39,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",09:33:00,"5/25/2018",08:48:00,"2DBR",3.5,21,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",08:40:00,"5/25/2018",09:46:00,"8DCW",5.6,12,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",09:26:00,"5/25/2018",08:57:00,"3DBV",2.3,6,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",09:17:00,"5/25/2018",09:27:00,"4DCD",7.1,18,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",08:43:00,"5/25/2018",09:49:00,"8DCV",16,33,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",17:35:00,"5/25/2018",08:40:00,"1DBN",1.9,25,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",08:57:00,"5/25/2018",09:31:00,"6DCN",2.1,15,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",09:07:00,"5/25/2018",09:17:00,"5DCL",1.7,12,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",08:46:00,"5/25/2018",09:37:00,"7DCT",1.1,6,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",09:23:00,"5/25/2018",08:57:00,"3DBY",0.7,5,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",09:14:00,"5/25/2018",09:08:00,"4DCE",1.9,5,"Funnel/Paper",NA
"Botanical Garden","5/22/2018",09:05:00,"5/25/2018",09:16:00,"5DCF",2.7,20,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",08:48:00,"5/29/2018",09:46:00,"2DBS",3.2,11,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",09:19:00,"5/29/2018",09:24:00,"5DCL",0.1,15,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",08:42:00,"5/29/2018",09:58:00,"1DBP",3.6,9,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",09:10:00,"5/29/2018",09:32:00,"4DCE",0.7,8,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",09:32:00,"5/29/2018",09:11:00,"6DCN",2.6,12,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",09:40:00,"5/29/2018",09:02:00,"7DCQ",1.5,13,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",08:49:00,"5/29/2018",09:47:00,"2DBR",0.2,5,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",09:19:00,"5/29/2018",09:19:00,"5DCF",2.1,7,"Funnel/Paper","Filter was folded over the lip of  the funnel"
"Botanical Garden","5/25/2018",09:29:00,"5/29/2018",09:31:00,"4DCD",2.7,10,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",08:59:00,"5/29/2018",09:30:00,"3DBY",NA,NA,"Funnel/Paper","Destroyed; bottom blown out"
"Botanical Garden","5/25/2018",08:47:00,"5/29/2018",08:52:00,"8DCW",6.5,8,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",08:59:00,"5/29/2018",09:40:00,"3DBV",12.7,26,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",09:51:00,"5/29/2018",08:53:00,"8DCV",1.2,7,"Funnel/Paper",NA
"Botanical Garden","5/25/2018",09:32:00,"5/29/2018",09:11:00,"6DCM",1.7,10,"Funnel/Paper","edges ripped"
"Botanical Garden","5/25/2018",08:42:00,"5/29/2018",09:59:00,"1DBM",3.9,20,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",10:30:00,"5/31/2018",09:03:00,"7DAL",1.5,6,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",10:15:00,"5/31/2018",09:15:00,"11DBF",1,4,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",10:22:00,"5/31/2018",09:15:00,"11DBB",5.6,22,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",10:10:00,"5/31/2018",09:26:00,"6DAD",6,8,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",10:30:00,"5/31/2018",09:01:00,"10DAX",5.2,24,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",09:34:00,"5/31/2018",09:55:00,"3CZP",3.1,17,"Funnel/Paper","blown out of funnel"
"Prairie Ridge","5/24/2018",09:25:00,"5/31/2018",10:07:00,"2CZI",1.3,10,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",09:45:00,"5/31/2018",09:38:00,"4CZS",2,8,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",09:15:00,"5/31/2018",10:24:00,"9DAV",9.8,24,"Funnel/Paper","edges folded over the funnel"
"Prairie Ridge","5/24/2018",09:20:00,"5/31/2018",10:12:00,"1CZE",5.1,13,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",10:02:00,"5/31/2018",09:33:00,"12DBK",8.6,14,"Funnel/Paper",NA
"Prairie Ridge","5/24/2018",09:52:00,"5/31/2018",09:40:00,"5DAA",6,18,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:01:00,"06/01/2018",10:19:00,"7DCT",1.5,3,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:04:00,"06/01/2018",10:15:00,"7DCQ",7.3,46,"Funnel/Paper","trap tilted"
"Botanical Garden","5/29/2018",08:56:00,"06/01/2018",10:26:00,"8DCV",0.7,7,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:15:00,"06/01/2018",10:07:00,"6DCN",5.1,4,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",08:54:00,"06/01/2018",10:24:00,"8DCW",5.3,24,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:34:00,"06/01/2018",09:43:00,"4DCD",1.8,5,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:21:00,"06/01/2018",09:50:00,"5DCF",4.2,33,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:34:00,"06/01/2018",09:39:00,"4DCE",1.4,6,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:40:00,"06/01/2018",09:26:00,"3DBY",1,6,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:48:00,"06/01/2018",09:15:00,"2DBS",2.5,10,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:41:00,"06/01/2018",09:28:00,"3DBV",NA,NA,"Funnel/Paper","All of the frass exploded into a powder, nothing was salvageable"
"Botanical Garden","5/29/2018",09:15:00,"06/01/2018",10:03:00,"6DCM",5.5,18,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",10:00:00,"06/01/2018",08:58:00,"1DBM",9.8,83,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:25:00,"06/01/2018",09:52:00,"5DCI",3.5,6,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",09:48:00,"06/01/2018",09:16:00,"2DBR",2.6,10,"Funnel/Paper",NA
"Botanical Garden","5/29/2018",10:00:00,"06/01/2018",09:04:00,"1DBP",8.6,24,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",10:27:00,"06/04/2018",09:01:00,"9DAV",3,5,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",09:34:00,"06/04/2018",09:37:00,"12DBK",11.3,12,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",10:09:00,"06/04/2018",09:14:00,"2CZI",2.9,14,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",10:32:00,"06/04/2018",08:55:00,"10DAX",11.9,31,"Funnel/Paper","edges folded over"
"Prairie Ridge","05/31/18",10:15:00,"06/04/2018",09:06:00,"1CZE",30.9,121,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",09:50:00,"06/04/2018",09:28:00,"4CZS",6,7,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",09:15:00,"06/04/2018",09:55:00,"11DBF",44.2,42,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",09:05:00,"06/04/2018",10:02:00,"7DAL",9.2,21,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",09:28:00,"06/04/2018",09:50:00,"6DAD",15.7,47,"Funnel/Paper",NA
"Prairie Ridge","05/31/18",09:16:00,"06/04/2018",10:00:00,"11DBB",5.2,10,"Funnel/Paper","Paper folded over"
"Prairie Ridge","05/31/18",10:52:00,"06/04/2018",NA,"3CZP",0.3,7,"Funnel/Paper","out of funnel"
"Botanical Garden","06/01/2018",10:21:00,"06/05/2018",08:47:00,"7DCT",1.2,7,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",10:15:00,"06/05/2018",08:47:00,"7DCQ",3.1,9,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",10:26:00,"06/05/2018",08:38:00,"8DCV",16.1,28,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",NA,"06/05/2018",NA,"6DCN",NA,NA,"Funnel/Paper","out of funnel"
"Botanical Garden","06/01/2018",10:25:00,"06/05/2018",08:34:00,"8DCW",7.2,8,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:15:00,"06/05/2018",09:45:00,"4DCD",9.2,37,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:53:00,"06/05/2018",09:05:00,"5DCF",2.7,11,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:40:00,"06/05/2018",09:16:00,"4DCE",2.6,11,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:27:00,"06/05/2018",09:26:00,"3DBY",3.1,17,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:15:00,"06/05/2018",09:34:00,"2DBS",2.3,16,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",NA,"06/05/2018",NA,"3DBV",NA,NA,"Funnel/Paper","out of funnel"
"Botanical Garden","06/01/2018",10:04:00,"06/05/2018",08:58:00,"6DCM",8.6,30,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:01:00,"06/05/2018",09:44:00,"1DBM",3.4,32,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:53:00,"06/05/2018",09:03:00,"5DCI",1.7,7,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:16:00,"06/05/2018",09:35:00,"2DBR",2.1,7,"Funnel/Paper",NA
"Botanical Garden","06/01/2018",09:05:00,"06/05/2018",09:45:00,"1DBP",9.4,33,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",10:04:00,"6/7/2018",09:11:00,"7DAL",11.1,13,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:57:00,"6/7/2018",09:18:00,"11DBF",22.4,25,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",10:01:00,"6/7/2018",09:18:00,"11DBB",4,44,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:52:00,"6/7/2018",09:27:00,"6DAD",10.3,61,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",10:57:00,"6/7/2018",10:27:00,"10DAX",6.5,18,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:22:00,"6/7/2018",09:52:00,"3CZP",22.4,51,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:16:00,"6/7/2018",10:12:00,"2CZI",8,19,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:30:00,"6/7/2018",09:49:00,"4CZS",0.8,13,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:03:00,"6/7/2018",10:20:00,"9DAV",1.7,40,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:08:00,"6/7/2018",10:16:00,"1CZE",2.2,11,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:39:00,"6/7/2018",09:32:00,"12DBK",1.1,3,"Funnel/Paper",NA
"Prairie Ridge","6/4/2018",09:41:00,"6/7/2018",09:35:00,"5DAA",7.7,17,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",08:50:00,"06/08/2018",09:51:00,"7DCT",2.3,6,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",08:49:00,"06/08/2018",09:50:00,"7DCQ",3.4,9,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",08:40:00,"06/08/2018",10:01:00,"8DCV",8.2,10,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",08:55:00,"06/08/2018",09:42:00,"6DCN",6,29,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",08:40:00,"06/08/2018",10:00:00,"8DCW",6.4,7,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:17:00,"06/08/2018",09:20:00,"4DCD",6.8,22,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:04:00,"06/08/2018",09:32:00,"5DCF",2.6,13,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:17:00,"06/08/2018",09:26:00,"4DCE",1.3,28,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:27:00,"06/08/2018",09:12:00,"3DBY",0.8,14,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:37:00,"06/08/2018",08:58:00,"2DBS",2.9,18,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:28:00,"06/08/2018",09:14:00,"3DBV",1,16,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:00:00,"06/08/2018",09:45:00,"6DCM",3.6,23,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:46:00,"06/08/2018",08:53:00,"1DBM",4.7,25,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:05:00,"06/08/2018",09:33:00,"5DCI",1.7,21,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:35:00,"06/08/2018",09:00:00,"2DBR",1.6,12,"Funnel/Paper",NA
"Botanical Garden","06/05/2018",09:47:00,"06/08/2018",08:50:00,"1DBP",3.6,24,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",09:13:00,"6/11/2018",10:09:00,"7DAL",10.5,14,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",09:20:00,"6/11/2018",10:05:00,"11DBF",43.6,44,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",09:18:00,"6/11/2018",10:00:00,"11DBB",8,23,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",09:28:00,"6/11/2018",09:51:00,"6DAD",15.7,25,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",10:28:00,"6/11/2018",08:56:00,"10DAX",0.1,1,"Funnel/Paper","edge folded over"
"Prairie Ridge","6/7/2018",09:52:00,"6/11/2018",09:25:00,"3CZP",19.9,36,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",10:13:00,"6/11/2018",09:16:00,"2CZI",4.6,22,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",09:49:00,"6/11/2018",09:34:00,"4CZS",21.9,3,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",10:20:00,"6/11/2018",09:03:00,"9DAV",13.3,15,"Funnel/Paper","edge folded over"
"Prairie Ridge","6/7/2018",10:17:00,"6/11/2018",09:11:00,"1CZE",4.1,22,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",09:33:00,"6/11/2018",09:48:00,"12DBH",2.4,12,"Funnel/Paper",NA
"Prairie Ridge","6/7/2018",09:42:00,"6/11/2018",09:40:00,"5DAA",13.6,24,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:51:00,"06/12/2018",09:03:00,"7DCT",1.8,8,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:52:00,"06/12/2018",09:06:00,"7DCQ",2.5,10,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",10:03:00,"06/12/2018",08:57:00,"8DCV",6.5,13,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:45:00,"06/12/2018",09:19:00,"6DCN",7.1,8,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",10:00:00,"06/12/2018",08:52:00,"8DCW",7.2,8,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:22:00,"06/12/2018",09:40:00,"4DCD",4.2,18,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:34:00,"06/12/2018",09:27:00,"5DCF",0,1,"Funnel/Paper","*frass not heavy enough to make a difference on the scale"
"Botanical Garden","06/08/2018",09:27:00,"06/12/2018",09:45:00,"4DCE",0,0,"Funnel/Paper","any frass that was present has dissolved into powder"
"Botanical Garden","06/08/2018",09:13:00,"06/12/2018",09:53:00,"3DBY",0.8,8,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:00:00,"06/12/2018",10:11:00,"2DBS",4.2,12,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:16:00,"06/12/2018",09:57:00,"3DBV",0.2,6,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:42:00,"06/12/2018",09:16:00,"6DCM",8,8,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",08:55:00,"06/12/2018",10:18:00,"1DBM",1,9,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:34:00,"06/12/2018",09:31:00,"5DCI",0.7,5,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",09:00:00,"06/12/2018",10:04:00,"2DBR",0.5,4,"Funnel/Paper",NA
"Botanical Garden","06/08/2018",08:52:00,"06/12/2018",10:21:00,"1DBP",12.4,21,"Funnel/Paper",NA
"Prairie Ridge","6/11/2018",10:09:00,"6/14/2018",09:04:00,"7DAL",17.4,30,"Funnel/Paper",NA
"Prairie Ridge","6/11/2018",10:06:00,"6/14/2018",09:10:00,"11DBF",15.8,12,"Funnel/Paper","edge folded over"
"Prairie Ridge","6/11/2018",10:01:00,"6/14/2018",09:14:00,"11DBB",0,0,"Funnel/Paper","folded over"
"Prairie Ridge","6/11/2018",09:51:00,"6/14/2018",09:20:00,"6DAD",25.2,82,"Funnel/Paper",NA
"Prairie Ridge","6/11/2018",08:58:00,"6/14/2018",10:07:00,"10DAX",5.8,43,"Funnel/Paper",NA
"Prairie Ridge","6/11/2018",09:27:00,"6/14/2018",NA,"3CZP",0,2,"Funnel/Paper","blow out of filter, frass weight not significant enough to show up on scale"
"Prairie Ridge","6/11/2018",09:18:00,"6/14/2018",09:52:00,"2CZI",2.6,12,"Funnel/Paper",NA
"Prairie Ridge","6/11/2018",09:35:00,"6/14/2018",09:41:00,"4CZS",0.2,6,"Funnel/Paper","edge folded over"
"Prairie Ridge","6/11/2018",09:05:00,"6/14/2018",10:02:00,"9DAV",6.2,50,"Funnel/Paper",NA
"Prairie Ridge","6/11/2018",09:12:00,"6/14/2018",09:57:00,"1CZE",15.8,48,"Funnel/Paper",NA
"Prairie Ridge","6/11/2018",09:49:00,"6/14/2018",09:27:00,"12DBH",9.9,16,"Funnel/Paper",NA
"Prairie Ridge","6/11/2018",09:41:00,"6/14/2018",09:30:00,"5DAA",31,55,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:04:00,"06/15/2018",09:37:00,"7DCT",0.9,7,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:08:00,"06/15/2018",09:41:00,"7DCQ",0.3,11,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:00:00,"06/15/2018",09:45:00,"8DCV",3.9,14,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:20:00,"06/15/2018",09:30:00,"6DCN",5,7,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",08:53:00,"06/15/2018",09:46:00,"8DCW",2.9,11,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:42:00,"06/15/2018",09:02:00,"4DCD",0,2,"Funnel/Paper","weight not significant enough to change scale"
"Botanical Garden","06/12/2018",09:28:00,"06/15/2018",09:16:00,"5DCF",1.4,7,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:46:00,"06/15/2018",09:05:00,"4DCE",0,1,"Funnel/Paper","weight not significant enough to change scale"
"Botanical Garden","06/12/2018",09:54:00,"06/15/2018",08:55:00,"3DBY",0.2,5,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",10:13:00,"06/15/2018",08:49:00,"2DBS",4.5,31,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:58:00,"06/15/2018",08:58:00,"3DBV",1.3,6,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:16:00,"06/15/2018",09:27:00,"6DCM",3.2,8,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",10:20:00,"06/15/2018",08:38:00,"1DBM",0.8,4,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",09:33:00,"06/15/2018",09:20:00,"5DCI",2.1,24,"Funnel/Paper",NA
"Botanical Garden","06/12/2018",10:08:00,"06/15/2018",08:44:00,"2DBR",5.4,8,"Funnel/Paper","edges folded over"
"Botanical Garden","06/12/2018",10:22:00,"06/15/2018",08:35:00,"1DBP",2,6,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",09:05:00,"6/18/2018",10:04:00,"7DAL",35.1,20,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",09:10:00,"6/18/2018",10:00:00,"11DBF",55.9,48,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",09:15:00,"6/18/2018",09:35:00,"11DBB",12.5,31,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",09:20:00,"6/18/2018",09:47:00,"6DAD",50.5,104,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",10:08:00,"6/18/2018",08:59:00,"10DAX",5.9,17,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",09:46:00,"6/18/2018",09:23:00,"3CZP",17.2,56,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",NA,"6/18/2018",09:17:00,"2CZI",NA,20,"Funnel/Paper","blown in edge"
"Prairie Ridge","6/14/2018",09:42:00,"6/18/2018",09:33:00,"4CZS",0.9,5,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",10:03:00,"6/18/2018",09:03:00,"9DAV",14.4,18,"Funnel/Paper","edge folded"
"Prairie Ridge","6/14/2018",09:58:00,"6/18/2018",09:09:00,"1CZE",34,39,"Funnel/Paper",NA
"Prairie Ridge","6/14/2018",09:29:00,"6/18/2018",NA,"12DBH",11.6,1,"Funnel/Paper","blown out"
"Prairie Ridge","6/14/2018",09:31:00,"6/18/2018",09:36:00,"5DAA",39.3,28,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:38:00,"06/19/2018",08:44:00,"7DCT",4.8,90,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:42:00,"06/19/2018",08:46:00,"7DCQ",6.7,43,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:49:00,"06/19/2018",08:36:00,"8DCV",21.7,103,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:32:00,"06/19/2018",08:55:00,"6DCN",28.8,90,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:47:00,"06/19/2018",08:39:00,"8DCW",3.3,44,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",NA,"06/19/2018",09:10:00,"4DCD",7.3,37,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:16:00,"06/19/2018",09:01:00,"5DCF",24.9,59,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:07:00,"06/19/2018",09:12:00,"4DCE",3,18,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",08:56:00,"06/19/2018",09:16:00,"3DBY",10.4,46,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",08:50:00,"06/19/2018",09:27:00,"2DBS",10.8,72,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:00:00,"06/19/2018",09:19:00,"3DBV",13.4,78,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:28:00,"06/19/2018",08:51:00,"6DCM",7.4,35,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",08:39:00,"06/19/2018",09:33:00,"1DBM",5.2,36,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",09:22:00,"06/19/2018",09:05:00,"5DCI",12.6,63,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",08:47:00,"06/19/2018",09:24:00,"2DBR",5.4,55,"Funnel/Paper",NA
"Botanical Garden","06/15/2018",08:36:00,"06/19/2018",09:36:00,"1DBP",15.1,74,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",10:05:00,"6/21/2018",09:05:00,"7DAL",13.9,45,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",10:01:00,"6/21/2018",09:12:00,"11DBF",22.9,46,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:57:00,"6/21/2018",09:17:00,"11DBB",14.5,23,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:48:00,"6/21/2018",09:21:00,"6DAD",23.6,63,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:00:00,"6/21/2018",10:08:00,"10DAX",5.2,9,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:25:00,"6/21/2018",09:45:00,"3CZP",17.9,48,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:18:00,"6/21/2018",09:52:00,"2CZI",10.6,51,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:34:00,"6/21/2018",09:36:00,"4CZS",6.4,5,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:04:00,"6/21/2018",10:03:00,"9DAV",5.4,13,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:10:00,"6/21/2018",09:59:00,"1CZE",7.8,31,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:44:00,"6/21/2018",09:27:00,"12DBH",7.3,28,"Funnel/Paper",NA
"Prairie Ridge","6/18/2018",09:37:00,"6/21/2018",09:31:00,"5DAA",67.5,35,"Funnel/Paper",NA
"Botanical Garden","06/19/2018",08:46:00,"06/22/2018",09:44:00,"7DCT",3.5,35,"Funnel/Paper",NA
"Botanical Garden","06/19/2018",08:47:00,"06/22/2018",09:47:00,"7DCQ",11.8,24,"Funnel/Paper",NA
"Botanical Garden","06/19/2018",08:37:00,"06/22/2018",09:55:00,"8DCV",1.7,12,"Funnel/Paper",NA
"Botanical Garden","06/19/2018",08:56:00,"06/22/2018",09:47:00,"6DCN",10.5,44,"Funnel/Paper",NA
"Botanical Garden","06/19/2018",08:40:00,"06/22/2018",09:51:00,"8DCW",3.5,24,"Funnel/Paper",NA
"Botanical Garden","06/19/2018",09:11:00,"06/22/2018",09:18:00,"4DCD",7,20,"Funnel/Paper",NA
"Botanical Garden","06/19/2018",09:02:00,"06/22/2018",09:27:00,"5DCF",6.6,24,"Funnel/Paper",NA
"Botanical Garden","06/19/2018",09:13:00,"06/22/2018",09:14:00,"4DCE",3,12,"Funnel/Paper",NA
