"Name","Year","Region","cell","Latitude.y","Longitude.y","Start","End"
"Walker Nature Center",2019,"VA",676,38.925767408682,-77.341531666344,165,207
"Acadia NP - Alder",2019,"ME",568,44.3424,-68.0528,165,207
"NC Botanical Garden",2020,"NC",703,35.8994,-79.0339,137,207
"Stage Nature Center",2020,"MI",592,42.616025477569,-83.191449083429,158,200
"Walker Nature Center",2020,"VA",676,38.925767408682,-77.341531666344,144,207
"Brookbanks Park",2020,"ON",593,43.755259966615,-79.329944638904,172,207
"NC Botanical Garden",2021,"NC",703,35.8994,-79.0339,137,207
"Prairie Ridge Ecostation",2021,"NC",703,35.8117,-78.7139,137,207
"UNC Chapel Hill Campus",2021,"NC",703,35.909876654033,-79.049644020807,137,207
"Riverbend Park",2021,"VA",676,39.018431674248,-77.246021979731,137,207
"Highlands Biological Station",2021,"NC",702,35.053885666174,-83.18924508538,137,200
"Fernbank Forest",2021,"GA",729,33.77615094252,-84.321870803833,137,200
"Belle Isle State Park, Lancaster, VA",2021,"VA",676,37.780129538579,-76.596441492825,158,207
"Walker Nature Center",2021,"VA",676,38.925767408682,-77.341531666344,144,200
"Acadia NP - Alder",2021,"ME",568,44.3424,-68.0528,158,207
"Brookbanks Park",2021,"ON",593,43.755259966615,-79.329944638904,158,207
"Acadia NP - Sundew",2021,"ME",568,44.3393,-68.0657,158,207
"NC Botanical Garden",2022,"NC",703,35.8994,-79.0339,137,207
"Prairie Ridge Ecostation",2022,"NC",703,35.8117,-78.7139,137,207
"UNC Chapel Hill Campus",2022,"NC",703,35.909876654033,-79.049644020807,137,207
"BHRC Natural Bridge South",2022,"WI",590,43.338069295999,-89.928724205292,144,200
"Birmingham Zoo AL",2022,"AL",728,33.486258229047,-86.781851566739,144,200
"Riverbend Park",2022,"VA",676,39.018431674248,-77.246021979731,144,207
"BHRC Misty Valley Uplands",2022,"WI",590,43.395977313394,-89.838369239236,137,200
"BHRC Natural Bridge Uplands",2022,"WI",590,43.348915814263,-89.937131887229,144,193
"BHRC Happy Hill",2022,"WI",590,43.397527460736,-89.831000897954,137,200
"BHRC Green Forest",2022,"WI",590,43.383614216027,-89.918081940435,137,200
"BHRC Schara Road Woodland",2022,"WI",590,43.378063747409,-89.920591163525,137,200
"Highlands Biological Station",2022,"NC",702,35.053885666174,-83.18924508538,144,207
"BHRC Pan Hollow Uplands",2022,"WI",590,43.37562290301,-89.869713136436,137,207
"Belle Isle State Park, Lancaster, VA",2022,"VA",676,37.780129538579,-76.596441492825,137,207
"Beare Swamp in Rouge Park",2022,"ON",593,43.825999432243,-79.154017733419,144,207
"BHRC - Hemlock Draw",2022,"WI",590,43.359565312021,-89.941807312655,158,207
"RVCC",2022,"ON",593,43.81900252918,-79.170878351185,144,207
"Acadia NP - Sundew",2022,"ME",568,44.3393,-68.0657,158,207
"Walker Nature Center",2022,"VA",676,38.925767408682,-77.341531666344,151,207
"Acadia NP - Alder",2022,"ME",568,44.3424,-68.0528,158,207
"Brookbanks Park",2022,"ON",593,43.755259966615,-79.329944638904,144,200
"NC Botanical Garden",2023,"NC",703,35.8994,-79.0339,137,207
"Prairie Ridge Ecostation",2023,"NC",703,35.8117,-78.7139,137,207
"UNC Chapel Hill Campus",2023,"NC",703,35.909876654033,-79.049644020807,137,207
"Ijams Nature Center",2023,"TN",674,35.957561221232,-83.866635560989,137,186
"BHRC Misty Valley Uplands",2023,"WI",590,43.395977313394,-89.838369239236,144,207
"Highlands Biological Station",2023,"NC",702,35.053885666174,-83.18924508538,144,207
"BHRC Natural Bridge Uplands",2023,"WI",590,43.348915814263,-89.937131887229,144,200
"BHRC Natural Bridge South",2023,"WI",590,43.338069295999,-89.928724205292,144,200
"BHRC Happy Hill",2023,"WI",590,43.397527460736,-89.831000897954,144,207
"BHRC Pan Hollow Uplands",2023,"WI",590,43.37562290301,-89.869713136436,144,207
"BHRC Schara Road Woodland",2023,"WI",590,43.378063747409,-89.920591163525,144,207
"BHRC Green Forest",2023,"WI",590,43.383614216027,-89.918081940435,144,200
"Birmingham Zoo AL",2023,"AL",728,33.486258229047,-86.781851566739,137,207
"Walker Nature Center",2023,"VA",676,38.925767408682,-77.341531666344,137,207
"BHRC - Hemlock Draw",2023,"WI",590,43.359565312021,-89.941807312655,144,200
"Belle Isle State Park, Lancaster, VA",2023,"VA",676,37.780129538579,-76.596441492825,137,207
"Brookbanks Park",2023,"ON",593,43.755259966615,-79.329944638904,158,200
"Acadia NP - Alder",2023,"ME",568,44.3424,-68.0528,158,207
"Acadia NP - Sundew",2023,"ME",568,44.3393,-68.0657,151,207
"Triangle Land Conservancy - Johnston Mill Nature Preserve",2024,"NC",703,35.990692,-79.049186,137,207
"Prairie Ridge Ecostation",2024,"NC",703,35.8117,-78.7139,137,207
"Eno River State Park",2024,"NC",703,36.076898750519,-79.00719785217,137,207
"UNC Chapel Hill Campus",2024,"NC",703,35.909876654033,-79.049644020807,137,207
"NC Botanical Garden",2024,"NC",703,35.8994,-79.0339,137,207
"BHRC Pan Hollow Uplands",2024,"WI",590,43.37562290301,-89.869713136436,144,207
"Grandfather Mountain",2024,"NC",702,36.090242719196,-81.835645308896,151,207
"Highlands Biological Station",2024,"NC",702,35.053885666174,-83.18924508538,137,207
"Belle Isle State Park, Lancaster, VA",2024,"VA",676,37.780129538579,-76.596441492825,137,207
"Acadia NP - Sundew",2024,"ME",568,44.3393,-68.0657,151,207
"Acadia NP - Alder",2024,"ME",568,44.3424,-68.0528,151,207
"Walker Nature Center",2024,"VA",676,38.925767408682,-77.341531666344,137,207
"Middle Mill",2024,"ON",593,43.69402883916,-79.356059205218,137,207
"Brookbanks Park",2024,"ON",593,43.755259966615,-79.329944638904,151,200
"Triangle Land Conservancy - Johnston Mill Nature Preserve",2025,"NC",703,35.990692,-79.049186,137,207
"Prairie Ridge Ecostation",2025,"NC",703,35.8117,-78.7139,137,207
"NC Botanical Garden",2025,"NC",703,35.8994,-79.0339,137,207
"UNC Chapel Hill Campus",2025,"NC",703,35.909876654033,-79.049644020807,137,207
"Eno River State Park",2025,"NC",703,36.076898750519,-79.00719785217,137,207
"Highlands Biological Station",2025,"NC",702,35.053885666174,-83.18924508538,144,207
"Grandfather Mountain",2025,"NC",702,36.090242719196,-81.835645308896,144,200
"Acadia NP - Sundew",2025,"ME",568,44.3393,-68.0657,158,200
"Middle Mill",2025,"ON",593,43.69402883916,-79.356059205218,158,207
"Belle Isle State Park, Lancaster, VA",2025,"VA",676,37.780129538579,-76.596441492825,137,207
"Acadia NP - Alder",2025,"ME",568,44.3424,-68.0528,158,200
"Walker Nature Center",2025,"VA",676,38.925767408682,-77.341531666344,151,207
"Prairie Ridge Ecostation",2026,"NC",703,35.8117,-78.7139,137,207
"Ijams Nature Center",2026,"TN",674,35.957561221232,-83.866635560989,137,207
"NC Botanical Garden",2026,"NC",703,35.8994,-79.0339,137,200
"UNC Chapel Hill Campus",2026,"NC",703,35.909876654033,-79.049644020807,137,200
"Triangle Land Conservancy - Johnston Mill Nature Preserve",2026,"NC",703,35.990692,-79.049186,137,207
"Eno River State Park",2026,"NC",703,36.076898750519,-79.00719785217,137,207
"BHRC Pan Hollow Uplands",2026,"WI",590,43.37562290301,-89.869713136436,144,207
"Belle Isle State Park, Lancaster, VA",2026,"VA",676,37.780129538579,-76.596441492825,137,207
"BHRC - Hemlock Draw",2026,"WI",590,43.359565312021,-89.941807312655,137,193
"Highlands Biological Station",2026,"NC",702,35.053885666174,-83.18924508538,137,200
"Acadia NP - Sundew",2026,"ME",568,44.3393,-68.0657,151,207
"Acadia NP - Alder",2026,"ME",568,44.3424,-68.0528,151,207
"Walker Nature Center",2026,"VA",676,38.925767408682,-77.341531666344,151,207
